Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb,PlayedCards,DiscardedCards,PostJacksMask,PostTrumpCount,PostAces,PostTens,PostAttachedTens,PostTenKingSmall,PostSkatFulls
[CT C7 SK SQ HK H9 H8 DA D9 D8],-,2,1,0,0,0,0,[H7 DQ],3,0.0000,[SK SQ HK H9 H8 H7 DA DQ D9 D8],[CT C7],-,0,1,0,0,0,1
[CJ CT CK C7 S9 S8 HA DQ D8 D7],C,4,1,0,0,0,0,[SA DA],22,0.3250,[CJ CT CK C7 SA HA DA DQ D8 D7],[S9 S8],C,4,3,0,0,0,0
[C9 SQ S8 S7 HA H9 H7 DT DK D9],-,1,1,1,0,1,0,[S9 DA],11,0.0000,[S9 S8 S7 HA H9 H7 DA DT DK D9],[C9 SQ],-,0,2,1,1,1,0
[C8 SA ST SQ S8 HK H8 DK D9 D7],-,1,1,1,1,0,0,[HT DQ],13,0.0000,[ST SQ S8 HT HK H8 DK DQ D9 D7],[C8 SA],-,0,0,2,0,1,1
[CJ CT CK CQ C8 C7 SA SQ HK D8],C,6,1,0,0,0,0,[H7 DT],10,0.1000,[CJ CT CK CQ C8 C7 SA SQ DT D8],[HK H7],C,6,1,1,0,0,0
[SJ DJ C9 C8 C7 HQ H7 DT D9 D7],SD,5,0,1,0,0,0,[HJ HT],12,0.2000,[SJ HJ DJ C9 C8 C7 HT HQ H7 D9],[DT D7],SHD,6,0,1,0,0,1
[CJ SJ CT CK SK S9 S8 S7 HQ D8],CS,4,0,0,0,0,0,[C8 HA],11,0.2250,[CJ SJ CT CK C8 SK S9 S8 S7 HA],[HQ D8],CS,5,1,0,0,0,0
[DJ CA C8 SA SQ S9 S7 HK H8 D7],D,3,1,0,0,0,0,[ST DK],14,0.0000,[C8 SA ST SQ S9 S7 HK H8 DK D7],[DJ CA],-,1,1,1,1,0,1
[HJ CT CK CQ ST HT H9 H8 DT D9],H,4,0,3,0,0,0,[C7 S7],0,0.0000,[CK CQ C7 ST S7 HT H9 H8 DT D9],[HJ CT],-,3,0,3,0,0,1
[HJ CT CQ C9 ST DT DK DQ D8 D7],H,4,0,2,0,1,0,[SQ H8],3,0.0000,[CQ C9 ST SQ H8 DT DK DQ D8 D7],[HJ CT],-,2,0,2,0,1,1
[CJ CT CK SA SK S9 H9 DQ D9 D7],C,3,1,0,0,0,0,[DJ H7],2,0.0000,[CT CK SA SK S9 H9 H7 DQ D9 D7],[CJ DJ],-,2,1,0,0,0,0
[DJ CA CK SQ S9 S8 HQ H9 H8 H7],D,3,0,0,0,0,0,[CT HA],21,0.0000,[CT CK SQ S9 S8 HA HQ H9 H8 H7],[DJ CA],-,2,1,0,0,0,1
[SJ CA CK C9 C8 SQ S8 H8 H7 DT],S,5,0,1,0,0,0,[HJ DK],6,0.0000,[CA CK C9 C8 SQ S8 H8 H7 DT DK],[SJ HJ],-,4,0,1,0,0,0
[CQ SK SQ S8 S7 HQ H8 H7 DT D9],-,1,0,1,0,0,0,[H9 DK],4,0.0000,[SQ S8 S7 HQ H9 H8 H7 DT DK D9],[CQ SK],-,0,0,1,0,1,0
[SJ DJ CT CK CQ C7 SA SQ HT D8],SD,6,1,1,0,0,0,[CA S9],11,0.7750,[SJ DJ CA CT CK CQ C7 SA S9 HT],[SQ D8],SD,7,1,1,0,0,0
[CA CT CQ SA S9 HT HK HQ H9 DK],-,3,1,1,0,1,0,[SK H8],4,0.0000,[CQ SA SK S9 HT HK HQ H9 H8 DK],[CA CT],-,1,1,1,0,1,2
[HJ CA SA SK S9 HT H9 DQ D9 D8],H,2,1,1,0,0,0,[CQ S7],3,0.0000,[CQ SA SK S9 S7 HT H9 DQ D9 D8],[HJ CA],-,1,1,1,0,0,1
[DJ CA CT C7 SA S7 H8 DA DQ D7],D,4,2,0,0,0,0,[SJ C8],2,0.9750,[SJ DJ CA CT C8 C7 SA DA DQ D7],[S7 H8],SD,6,2,0,0,0,0
[SJ CA CT CK C7 SQ HT HK HQ DK],S,5,0,1,0,0,0,[C9 H9],0,0.6750,[SJ CA CT CK C9 C7 HT HK HQ H9],[SQ DK],S,6,0,1,0,1,0
[SJ CA CT C7 SK SQ S8 S7 H8 D8],S,4,0,0,0,0,0,[CK D7],4,0.0000,[CT CK C7 SK SQ S8 S7 H8 D8 D7],[SJ CA],-,3,0,0,0,0,1
[CK SK S8 HA HT DA DT DK DQ D7],-,1,2,2,2,1,0,[HK HQ],7,0.0000,[S8 HA HT HK HQ DA DT DK DQ D7],[CK SK],-,0,2,2,2,1,0
[C7 SA S9 S7 HA HK H7 DT DQ D9],-,1,2,1,0,0,0,[CT H9],10,0.0000,[SA S9 S7 HA HK H9 H7 DT DQ D9],[CT C7],-,0,2,1,0,0,1
[DJ CQ C9 SK HQ H9 DQ D9 D8 D7],D,3,0,0,0,0,0,[CT C7],10,0.0000,[CQ C9 C7 SK HQ H9 DQ D9 D8 D7],[DJ CT],-,3,0,0,0,0,1
[SJ CT CQ C9 ST HQ DK D9 D8 D7],S,4,0,1,0,0,0,[HK DQ],7,0.0000,[CQ C9 ST HK HQ DK DQ D9 D8 D7],[SJ CT],-,2,0,1,0,0,1
[HJ CA CT C9 SA S8 HQ H8 H7 D9],H,4,1,0,0,0,0,[CQ DK],7,0.0000,[HJ CA CT CQ C9 SA S8 HQ H8 H7],[DK D9],H,5,1,0,0,0,0
[CJ C8 C7 SQ S9 S8 HT HK DK D8],C,3,0,1,0,0,0,[CK DA],15,0.0000,[C8 C7 SQ S9 S8 HT HK DA DK D8],[CJ CK],-,2,1,1,0,0,0
[CJ CT C9 SA ST S9 HT HQ DA D7],C,3,2,2,1,0,0,[S7 DT],10,0.0000,[CJ C9 SA ST S9 S7 HT HQ DA DT],[CT D7],C,2,2,3,2,0,1
[CJ CA S7 HA HT H9 H8 D9 D8 D7],C,2,1,1,1,0,0,[SA SK],15,0.0000,[SA SK S7 HA HT H9 H8 D9 D8 D7],[CJ CA],-,0,2,1,1,0,1
[HJ CQ SA ST SK SQ HA H8 DT DK],H,2,2,2,1,0,0,[CJ DJ],4,0.3250,[CJ HJ DJ CQ SA ST SK HA DT DK],[SQ H8],CHD,4,2,2,1,0,0
[CJ CK C8 SA SQ S9 H7 DA D9 D8],C,3,2,0,0,0,0,[CA HQ],14,0.0000,[CK C8 SA SQ S9 HQ H7 DA D9 D8],[CJ CA],-,2,2,0,0,0,1
[CA CQ C8 SA SK SQ S8 HT HQ DK],-,3,1,1,0,0,0,[CJ HA],13,0.2000,[CJ CA CQ C8 SA SQ S8 HA HT HQ],[SK DK],C,4,2,1,1,0,0
[DJ CT CQ SK S7 HK H8 DT DK D8],D,3,0,1,0,1,0,[SA HT],21,0.0000,[CQ SA SK S7 HT HK H8 DT DK D8],[DJ CT],-,1,1,2,0,2,1
[CJ CA CK C9 SQ HK H8 DT DK D8],C,4,0,1,0,1,0,[C8 D7],0,0.0000,[CK C9 C8 SQ HK H8 DT DK D8 D7],[CJ CA],-,3,0,1,0,1,1
[CJ HJ DJ CA C9 ST HQ DA DT DQ],CHD,5,1,2,1,0,0,[H7 D7],0,0.7500,[CJ HJ DJ CA C9 ST DA DT DQ D7],[HQ H7],CHD,5,1,2,1,0,0
[HJ CA CT C8 SK S9 S8 HA D9 D7],H,4,1,0,0,0,0,[DJ H8],2,0.0000,[CA CT C8 SK S9 S8 HA H8 D9 D7],[HJ DJ],-,3,1,0,0,0,0
[DJ CA C8 C7 SA SK HK H8 H7 D7],D,4,1,0,0,0,0,[SJ CT],12,0.4250,[SJ DJ CA CT C8 C7 SA HK H8 H7],[SK D7],SD,6,1,0,0,0,0
[CJ CT CQ C9 C7 SA ST SK H8 DA],C,5,2,1,1,0,0,[HJ S7],2,1.0000,[CJ CT CQ C9 C7 SA ST SK S7 DA],[HJ H8],C,5,2,1,1,1,0
[CJ HJ CT SA SQ HQ H9 H8 DQ D9],CH,3,1,0,0,0,0,[DJ DK],6,0.0000,[DJ CT SA SQ HQ H9 H8 DK DQ D9],[CJ HJ],D,2,1,0,0,0,0
[DJ CQ C8 SQ S9 S7 HA H9 H8 DA],D,3,2,0,0,0,0,[C9 S8],0,0.0000,[C9 C8 SQ S9 S8 S7 HA H9 H8 DA],[DJ CQ],-,2,2,0,0,0,0
[CA C9 ST SQ S8 HK H9 H8 H7 D8],-,2,0,1,0,0,0,[CK CQ],7,0.0000,[CQ C9 ST SQ S8 HK H9 H8 H7 D8],[CA CK],-,2,0,1,0,0,1
[CJ HJ CA CT CK C7 ST SQ HK DQ],CH,6,0,1,0,0,0,[SJ DA],13,1.0000,[CJ SJ HJ CA CT CK C7 HK DA DQ],[ST SQ],CSH,7,1,0,0,0,1
[CA C9 C8 SA ST S9 S8 DA DQ D7],-,3,2,1,1,0,0,[DJ DT],12,0.0000,[DJ CA C9 C8 SA ST S9 DA DT D7],[S8 DQ],D,4,2,2,2,0,0
[CJ CK CQ C9 C7 S8 S7 H9 DT D7],C,5,0,1,0,0,0,[H7 DQ],3,0.0000,[CQ C9 C7 S8 S7 H9 H7 DT DQ D7],[CJ CK],-,3,0,1,0,0,0
[SJ HJ CQ ST S8 S7 HK HQ DK D9],SH,3,0,1,0,0,0,[DJ DA],13,0.0000,[DJ CQ ST S8 S7 HK HQ DA DK D9],[SJ HJ],D,2,1,1,0,0,0
[HJ CQ ST SK HK HQ H8 DK DQ D9],H,2,0,1,0,0,0,[S9 HT],10,0.0000,[ST SK S9 HT HK HQ H8 DK DQ D9],[HJ CQ],-,0,0,2,0,2,0
[HJ CA CT CK C7 ST SQ S9 S8 HQ],H,5,0,1,0,0,0,[DJ H9],2,0.1000,[HJ DJ CA CT CK C7 ST S9 S8 HQ],[SQ H9],HD,6,0,1,0,0,0
[DJ CK SA ST SQ S7 H9 DT DK D7],D,2,1,2,1,1,0,[CQ DA],14,0.0000,[CQ SA ST SQ S7 H9 DA DT DK D7],[DJ CK],-,1,2,2,2,1,0
[CJ HJ CQ C9 S7 HT HQ H7 DT D8],CH,4,0,2,0,0,0,[S9 DQ],3,0.0000,[CQ C9 S9 S7 HT HQ H7 DT DQ D8],[CJ HJ],-,2,0,2,0,0,0
[HJ CK CQ C8 C7 SA ST DA DQ D9],H,5,2,1,1,0,0,[DK D7],4,0.3500,[HJ CK CQ C8 C7 SA ST DA DQ D9],[DK D7],H,5,2,1,1,0,0
[CQ ST SK S8 HT H9 H7 DT DK D8],-,1,0,3,0,2,0,[HJ H8],2,0.0000,[ST SK S8 HT H9 H8 H7 DT DK D8],[HJ CQ],-,0,0,3,0,2,0
[CJ SJ HJ CT CK H8 DA DK DQ D8],CSH,5,1,0,0,0,0,[SQ D7],3,0.9250,[CJ SJ HJ CT CK DA DK DQ D8 D7],[SQ H8],CSH,5,1,0,0,0,0
[HJ CT C7 SA SK S8 S7 HA H7 D7],H,3,2,0,0,0,0,[DJ HT],12,0.1500,[HJ DJ CT C7 SA SK S7 HA HT H7],[S8 D7],HD,4,2,1,1,0,0
[CJ CA CT C8 S9 S8 HA HT HK DT],C,4,1,2,1,0,0,[HQ DQ],6,0.0000,[CT C8 S9 S8 HA HT HK HQ DT DQ],[CJ CA],-,2,1,2,1,0,1
[SJ DJ CK C9 ST HA HT HQ DA D8],SD,4,2,2,1,0,0,[C8 H9],0,0.4500,[SJ DJ CK C9 C8 HA HT HQ H9 DA],[ST D8],SD,5,2,1,1,0,1
[ST SQ S9 S8 HT HQ H9 DT DK D8],-,0,0,3,0,1,0,[C7 DQ],3,0.0000,[SQ S9 S8 HT HQ H9 DT DK DQ D8],[C7 ST],-,0,0,2,0,1,1
[SJ CK CQ C7 S8 HK H9 H7 DT D9],S,4,0,1,0,0,0,[CA SQ],14,0.0000,[CK CQ C7 SQ S8 HK H9 H7 DT D9],[SJ CA],-,3,0,1,0,0,1
[CT C9 C7 ST SQ S8 HT DK DQ D8],-,3,0,2,0,0,0,[DJ HQ],5,0.0000,[C9 C7 ST SQ S8 HT HQ DK DQ D8],[DJ CT],-,2,0,2,0,0,1
[HJ CT CK SK SQ S8 HQ H9 H7 DA],H,3,1,0,0,0,0,[C8 HT],10,0.0000,[CK C8 SK SQ S8 HT HQ H9 H7 DA],[HJ CT],-,2,1,1,0,0,1
[HJ DJ CQ C7 SK S8 DQ D9 D8 D7],HD,4,0,0,0,0,0,[CT S9],10,0.0000,[CT CQ C7 SK S9 S8 DQ D9 D8 D7],[HJ DJ],-,3,0,0,0,0,0
[CJ HJ C8 C7 ST SQ S7 HA HK DQ],CH,4,1,1,0,0,0,[H9 DT],10,0.0000,[C8 C7 ST SQ S7 HA HK H9 DT DQ],[CJ HJ],-,2,1,2,0,0,0
[CJ CT CK C8 SK S8 S7 HA H8 D7],C,4,1,0,0,0,0,[HQ DK],7,0.0000,[CK C8 SK S8 S7 HA HQ H8 DK D7],[CJ CT],-,2,1,0,0,0,1
[SJ CA C9 C7 SQ S7 DA DK DQ D8],S,4,1,0,0,0,0,[CQ HK],7,0.0000,[CQ C9 C7 SQ S7 HK DA DK DQ D8],[SJ CA],-,3,1,0,0,0,1
[SJ CT ST SK S9 HA HT H8 H7 DA],S,2,2,2,1,1,0,[HJ CA],13,0.3000,[SJ HJ CA CT ST SK S9 HA HT DA],[H8 H7],SH,4,2,2,1,1,0
[CJ SJ C8 SA SQ HA DK DQ D9 D7],CS,3,2,0,0,0,0,[HT HK],14,0.0000,[CJ SJ SA SQ HA HT HK DK D9 D7],[C8 DQ],CS,2,2,1,1,0,0
[CJ SJ HJ CA CK C8 C7 S9 HA D8],CSH,7,1,0,0,0,0,[SK DK],8,0.9500,[CJ SJ HJ CA CK C7 S9 HA DK D8],[C8 SK],CSH,6,1,0,0,0,0
[CJ DJ CA C8 S8 S7 HQ H9 DA DQ],CD,4,1,0,0,0,0,[H8 D9],0,0.0000,[CA C8 S8 S7 HQ H9 H8 DA DQ D9],[CJ DJ],-,2,1,0,0,0,0
[HJ C8 SK S9 HK HQ H9 DK DQ D8],H,2,0,0,0,0,0,[DJ SQ],5,0.0000,[C8 SK SQ S9 HK HQ H9 DK DQ D8],[HJ DJ],-,1,0,0,0,0,0
[CA CK CQ C9 C8 SK SQ HT HK DQ],-,5,0,1,0,0,0,[SJ C7],2,0.0000,[CK CQ C9 C8 C7 SK SQ HT HK DQ],[SJ CA],-,5,0,1,0,0,1
[DJ CT CK CQ SQ S9 HT HK H9 DA],D,4,1,1,0,1,0,[H8 D7],0,0.0000,[CK CQ SQ S9 HT HK H9 H8 DA D7],[DJ CT],-,2,1,1,0,1,1
[CQ C8 SK S7 HA HK H8 DA D8 D7],-,2,2,0,0,0,0,[SA HT],21,0.0000,[CQ SA SK HA HT HK H8 DA D8 D7],[C8 S7],-,1,3,1,1,1,0
[C8 SA ST S9 S7 HA HT HQ H8 H7],-,1,2,2,2,0,0,[C7 SQ],3,0.0000,[SA ST SQ S9 S7 HA HT HQ H8 H7],[C8 C7],-,0,2,2,2,0,0
[CJ SJ HJ S8 S7 HA HQ H7 DT DQ],CSH,3,1,1,0,0,0,[H8 D9],0,0.0000,[HJ S8 S7 HA HQ H8 H7 DT DQ D9],[CJ SJ],H,1,1,1,0,0,0
[CJ CT CK C9 SA ST H9 DT D9 D8],C,4,1,2,1,0,0,[CA HT],21,0.3250,[CJ CA CT CK C9 SA ST DT D9 D8],[HT H9],C,5,1,2,1,0,1
[HJ DJ CT CQ C9 S8 HA HT DK D8],HD,5,1,1,1,0,0,[H7 DT],10,0.1750,[HJ DJ CT CQ C9 HA HT DT DK D8],[S8 H7],HD,5,1,2,1,1,0
[CJ DJ CA CK C9 S9 S8 H7 DA D9],CD,5,1,0,0,0,0,[HJ HQ],5,0.6750,[CJ HJ DJ CA CK C9 S9 S8 DA D9],[HQ H7],CHD,6,1,0,0,0,0
[CJ DJ CT CK ST HQ H8 DK DQ D8],CD,4,0,1,0,0,0,[HJ S8],2,0.0000,[DJ CT CK ST S8 HQ H8 DK DQ D8],[CJ HJ],D,3,0,1,0,0,0
[SJ CT CK C9 C8 SQ S8 HA H8 DT],S,5,1,1,0,0,0,[DJ CA],13,0.7250,[SJ DJ CA CT CK C9 C8 SQ S8 HA],[H8 DT],SD,7,1,0,0,0,1
[CT C8 C7 SA ST SK S9 HT DT DK],-,3,1,3,1,1,0,[S7 DA],11,0.0000,[C7 SA ST SK S9 S7 HT DA DT DK],[CT C8],-,1,2,3,2,1,1
[SJ HJ CT C7 ST SK HK H9 H7 D9],SH,4,0,1,0,0,0,[DT D7],10,0.0000,[CT C7 ST SK HK H9 H7 DT D9 D7],[SJ HJ],-,2,0,2,0,0,0
[DJ CT C8 C7 SQ S9 HT H9 D8 D7],D,4,0,1,0,0,0,[SK DA],15,0.0000,[C8 C7 SK SQ S9 HT H9 DA D8 D7],[DJ CT],-,2,1,1,0,0,1
[CJ SK SQ S8 S7 HA HK HQ DA DQ],C,1,2,0,0,0,0,[DJ D8],2,0.0000,[SK SQ S8 S7 HA HK HQ DA DQ D8],[CJ DJ],-,0,2,0,0,0,0
[SJ DJ CA CT C8 ST S8 S7 HT H9],SD,5,0,2,0,0,0,[HQ D9],3,0.0000,[CA CT C8 ST S8 S7 HT HQ H9 D9],[SJ DJ],-,3,0,2,0,0,0
[HJ CK CQ SK S8 HA HT H9 DT DK],H,3,1,2,1,0,0,[SA SQ],14,0.0000,[HJ CK CQ SA SQ HA HT H9 DT DK],[SK S8],H,3,2,2,1,0,0
[CJ CQ C8 SA SK SQ HT HK D8 D7],C,3,1,1,0,0,0,[CT DQ],13,0.0000,[CQ C8 SA SK SQ HT HK DQ D8 D7],[CJ CT],-,2,1,1,0,0,1
[CJ SJ HJ CA C8 SA HQ H7 DT DK],CSH,5,1,1,0,0,0,[H8 DA],11,0.9750,[CJ SJ HJ CA SA H8 H7 DA DT DK],[C8 HQ],CSH,4,2,1,1,0,0
[CA CQ C9 C7 SK HT H8 DT DQ D8],-,4,0,2,0,0,0,[SJ SQ],5,0.0000,[CQ C9 C7 SK SQ HT H8 DT DQ D8],[SJ CA],-,3,0,2,0,0,1
[HJ CK C8 C7 HA HK HQ H7 DA DK],H,4,2,0,0,0,0,[SQ DQ],6,0.0000,[C8 C7 SQ HA HK HQ H7 DA DK DQ],[HJ CK],-,2,2,0,0,0,0
[SJ HJ CA CT CQ C8 C7 SA SQ D8],SH,7,1,0,0,0,0,[S8 D9],0,1.0000,[SJ HJ CA CT CQ C8 C7 SA SQ S8],[D9 D8],SH,7,1,0,0,0,0
[CJ DJ CA C7 SA S7 H9 DK DQ D9],CD,4,1,0,0,0,0,[CQ HT],13,0.0000,[CA CQ C7 SA S7 HT H9 DK DQ D9],[CJ DJ],-,3,1,1,0,0,0
[CJ DJ CQ SA HA HQ H9 DT DQ D9],CD,3,2,1,0,0,0,[S8 HT],10,0.0000,[CQ SA S8 HA HT HQ H9 DT DQ D9],[CJ DJ],-,1,2,2,1,0,0
[HJ DJ CQ S8 S7 HT HK H8 DT D9],HD,3,0,2,0,1,0,[SK DK],8,0.0000,[CQ SK S8 S7 HT HK H8 DT DK D9],[HJ DJ],-,1,0,2,0,2,0
[SJ HJ DJ CT SA S9 S8 HT DT D8],SHD,4,1,2,0,0,0,[SK DK],8,0.0000,[DJ CT SA SK S9 S8 HT DT DK D8],[SJ HJ],D,2,1,2,0,1,0
[HJ DJ CT CK SK HA HK H9 H7 DA],HD,4,2,0,0,0,0,[SJ HT],12,0.9000,[SJ HJ DJ CT CK HA HT HK H7 DA],[SK H9],SHD,5,2,1,1,1,0
[CJ SJ HJ CQ C7 ST HA H8 DT D7],CSH,5,1,2,0,0,0,[S8 HQ],3,0.4250,[CJ SJ HJ CQ C7 ST S8 HA HQ H8],[DT D7],CSH,5,1,1,0,0,1
[SJ HJ DJ CT C9 C8 C7 SK DT D7],SHD,7,0,1,0,0,0,[CJ S9],2,0.9500,[SJ HJ DJ CT C9 C8 C7 S9 DT D7],[CJ SK],SHD,7,0,1,0,0,0
[DJ CA C7 ST SK S9 S7 H7 D8 D7],D,3,0,1,0,1,0,[CT H8],10,0.0000,[CT C7 ST SK S9 S7 H8 H7 D8 D7],[DJ CA],-,2,0,1,0,1,1
[CJ SJ HJ CA CQ SQ S9 DK D9 D8],CSH,5,0,0,0,0,0,[CK HA],15,0.9250,[CJ SJ HJ CA CK CQ HA DK D9 D8],[SQ S9],CSH,6,1,0,0,0,0
[CA CT CQ C7 ST SK HA DA DQ D8],-,4,2,1,0,0,0,[S9 DT],10,0.0000,[CQ C7 ST SK S9 HA DA DT DQ D8],[CA CT],-,2,2,2,1,1,2
[CJ HJ CA CT CK CQ C8 C7 HK D9],CH,8,0,0,0,0,0,[SK DQ],7,0.9000,[CJ HJ CA CT CK CQ C8 C7 SK DQ],[HK D9],CH,8,0,0,0,0,0
[CJ CT C7 SQ S9 HA HQ H8 DA DT],C,3,2,1,1,0,0,[CK S8],4,0.0000,[CK C7 SQ S9 S8 HA HQ H8 DA DT],[CJ CT],-,2,2,1,1,0,1
[HJ CA CK CQ SA SK HA HQ H8 H7],H,4,2,0,0,0,0,[SJ S8],2,0.6500,[SJ HJ CA CK CQ SA HA HQ H8 H7],[SK S8],SH,5,2,0,0,0,0
[CJ DJ CA CK C8 C7 SA SK HQ DK],CD,6,1,0,0,0,0,[S8 H9],0,0.4750,[CJ DJ CA CK C8 C7 SA SK S8 H9],[HQ DK],CD,6,1,0,0,0,0
[DJ CT CQ C9 ST S9 HA HT HK DQ],D,4,1,2,1,0,0,[S8 DT],10,0.0000,[CQ C9 ST S9 S8 HA HT HK DT DQ],[DJ CT],-,2,1,3,1,0,1
[DJ CT CQ ST HT HQ H8 DK DQ D9],D,3,0,2,0,0,0,[CJ HA],13,0.0000,[CT CQ ST HA HT HQ H8 DK DQ D9],[CJ DJ],-,2,1,2,1,0,0
[SJ HJ CT C7 SK S9 DK DQ D9 D7],SH,4,0,0,0,0,0,[CJ CQ],5,0.8000,[CJ SJ HJ CT CQ C7 DK DQ D9 D7],[SK S9],CSH,6,0,0,0,0,0
[CJ CQ C7 SA HA HT H9 D9 D8 D7],C,3,2,1,1,0,0,[CA C9],11,0.6750,[CJ CA CQ C9 C7 SA HA HT H9 D8],[D9 D7],C,5,2,1,1,0,0
[DJ CA CT C9 SA H8 H7 DA D9 D8],D,4,2,0,0,0,0,[SK HA],15,0.1250,[DJ CA CT C9 SA SK HA DA D9 D8],[H8 H7],D,4,3,0,0,0,0
[CJ DJ CT C8 SQ H9 H8 DA DT D8],CD,4,1,1,1,0,0,[CK S8],4,0.2000,[CJ DJ CT CK C8 S8 H8 DA DT D8],[SQ H9],CD,5,1,1,1,0,0
[DJ CQ C8 ST SQ HA HQ H9 H8 DK],D,3,1,1,0,0,0,[S7 DT],10,0.0000,[C8 ST SQ S7 HA HQ H9 H8 DT DK],[DJ CQ],-,1,1,2,0,0,0
[SJ HJ DJ CT SK SQ HK DK D9 D8],SHD,4,0,0,0,0,0,[CQ DQ],6,0.0000,[DJ CT CQ SK SQ HK DK DQ D9 D8],[SJ HJ],D,3,0,0,0,0,0
[CJ CQ C9 C8 ST SQ HK H8 H7 D9],C,4,0,1,0,0,0,[S9 S7],0,0.0000,[C9 C8 ST SQ S9 S7 HK H8 H7 D9],[CJ CQ],-,2,0,1,0,0,0
