Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb
[CJ DJ CA SA HQ H8 DT DQ D9 D8],CD,3,1,1,0,0,0,[C9 D7],0,0.0000
[SJ HJ CQ C9 C7 SA ST S7 H7 DK],SH,5,1,1,1,0,0,[S9 DT],10,0.0000
[CJ DJ SA ST SK SQ S8 H9 H8 DK],CD,2,1,1,1,1,0,[C8 C7],0,0.0000
[HJ CQ C8 SK SQ S9 S8 S7 HA H7],H,3,1,0,0,0,0,[HQ D8],3,0.0000
[DJ CA CK C8 C7 SQ S8 HK HQ D9],D,5,0,0,0,0,0,[CT HT],20,0.0000
[CA CQ C9 ST SQ HK H9 H8 H7 DT],-,3,0,2,0,0,0,[SA D9],11,0.0000
[C8 SA S9 S7 HT H7 DA DT D9 D8],-,1,2,2,1,0,0,[CJ HJ],4,0.0000
[SQ S9 S8 S7 HQ H9 H7 DA DQ D7],-,0,1,0,0,0,0,[CK D9],4,0.0000
[CJ DJ CT CQ C9 C7 SK SQ HQ H8],CD,6,0,0,0,0,0,[DA D7],11,0.0000
[CA CT CK C8 SK S9 HA HQ H9 DT],-,4,1,1,0,0,0,[HK H7],4,0.0000
[CA CK CQ SA SK S7 HK H9 H7 DT],-,3,1,1,0,0,0,[C9 D9],0,0.0000
[CJ HJ CA CQ SQ S7 HA H9 H8 DQ],CH,4,1,0,0,0,0,[DK D7],4,0.0000
[HJ CQ SA SQ S9 HA DA DQ D9 D8],H,2,3,0,0,0,0,[CJ S8],2,0.0000
[SJ CQ C8 C7 SA SK HK HQ H9 H7],S,4,1,0,0,0,0,[DA D8],11,0.0000
[CJ SJ S9 S8 HT HQ H7 DA DK D7],CS,2,1,1,0,0,0,[CA HA],22,0.0000
[SJ HJ CA CQ SK S7 HA H7 DQ D7],SH,4,1,0,0,0,0,[C7 HK],4,0.0000
[SJ HJ CT SA SK S9 HT HK DK D8],SH,3,1,1,0,0,0,[S8 D9],0,0.0000
[CA ST SK HK HQ DA DK DQ D8 D7],-,1,1,1,0,0,0,[SA S8],11,0.0000
[HJ CK SA SQ S9 S8 S7 HT H9 H8],H,2,1,1,0,0,0,[H7 D7],0,0.0000
[SJ HJ CT C9 SA ST S9 S7 H9 D9],SH,4,1,1,1,0,0,[D8 D7],0,0.0000
[DJ C8 ST SK S8 HK DA DK D9 D7],D,2,1,1,0,1,0,[CT CQ],13,0.0000
[CJ CQ C9 S8 HA HK H8 DA D9 D8],C,3,2,0,0,0,0,[CK C8],4,0.0000
[DJ CT C9 SK S7 HT H7 DK DQ D9],D,3,0,1,0,0,0,[CQ H8],3,0.0000
[HJ CQ C7 ST S8 S7 HQ H7 D8 D7],H,3,0,1,0,0,0,[C8 DQ],3,0.0000
[CJ SJ DJ SA HK H9 DA DK D9 D8],CSD,3,2,0,0,0,0,[SQ HT],13,0.0000
[CJ SJ CT CK CQ C9 SK S7 H7 D9],CS,6,0,0,0,0,0,[CA C8],11,0.0000
[HJ DJ CA C9 SK S7 HK H7 DT D9],HD,4,0,1,0,0,0,[CJ ST],12,0.0000
[HJ DJ CQ ST S8 S7 HK H8 DT D7],HD,3,0,2,0,0,0,[CA C8],11,0.0000
[CQ C7 SK S7 HT HK H9 H8 H7 D7],-,2,0,1,0,1,0,[SJ D9],2,0.0000
[DJ CT CQ SA SK SQ S8 HT HK HQ],D,3,1,1,0,0,0,[SJ D8],2,0.0000
[CJ CT C9 ST SQ S9 S7 HA DA D8],C,3,2,1,0,0,0,[SJ SK],6,0.0000
[SJ DJ CT CQ ST S9 HK H8 DA DQ],SD,4,1,1,0,0,0,[CJ D7],2,0.0000
[SJ DJ CA ST SK SQ H9 DT DK D7],SD,3,0,2,0,1,0,[H7 DQ],3,0.0000
[CJ SJ DJ CK C7 S9 HT HK DK D8],CSD,5,0,1,0,0,0,[H7 DT],10,0.0000
[CJ SJ CA SA HT HQ H9 DT DK D7],CS,3,1,2,0,1,0,[ST S7],10,0.0000
[CA C9 C8 SA ST S8 S7 HA HQ H7],-,3,2,1,1,0,0,[CK DQ],7,0.0000
[SJ HJ CK C8 HA H9 H7 DA DT D7],SH,4,2,1,1,0,0,[CJ D8],2,0.2000
[CA CQ HA HK HQ H8 DA DK DQ D8],-,2,2,0,0,0,0,[SJ H9],2,0.0000
[DJ CQ SQ S9 S7 HT HK HQ DT DQ],D,2,0,2,0,0,0,[D9 D7],0,0.0000
[HJ DJ CK CQ C9 C7 S9 S8 DA D8],HD,6,1,0,0,0,0,[H8 D7],0,0.0000
[CJ HJ CA SA SQ S8 H8 DA D8 D7],CH,3,2,0,0,0,0,[SJ DT],12,0.0000
[SJ C9 C8 SA ST S7 H7 DT DQ D8],S,3,1,2,1,0,0,[CA CK],15,0.0000
[SJ DJ CQ SA S7 HT DQ D9 D8 D7],SD,3,1,1,0,0,0,[HA DA],22,0.0000
[CA CK C9 SA SK S9 HK HQ H9 H8],-,3,1,0,0,0,0,[CT D9],10,0.0000
[CJ SJ HJ DJ CA CK H9 DA D9 D7],CSHD,6,1,0,0,0,0,[HA DQ],14,1.0000
[SJ DJ CK C8 C7 SA HA HT DK D8],SD,5,2,1,1,0,0,[SK DQ],7,0.3000
[SJ DJ CK CQ SK SQ S7 HT H7 DK],SD,4,0,1,0,0,0,[DT D8],10,0.0000
[CQ C9 SQ S9 HT HK H8 H7 DT DK],-,2,0,2,0,1,0,[C8 SA],11,0.0000
[CT CQ C9 SQ HA H8 H7 DA DK D8],-,3,2,0,0,0,0,[CK HK],8,0.0000
[DJ CA C9 C7 SA ST SQ S7 DK D8],D,4,1,1,1,0,0,[HA HT],21,0.0000
[DJ CK C9 C8 ST S9 HT HQ DQ D9],D,4,0,2,0,0,0,[CA DA],22,0.0000
[CJ CA CQ C8 S7 HQ H8 H7 DK D8],C,4,0,0,0,0,0,[SK DT],14,0.0000
[CJ DJ CA C8 C7 S7 HT HK DK D7],CD,5,0,1,0,0,0,[DA DT],21,0.0000
[CJ CK C9 C8 SK SQ S9 HA HT H7],C,4,1,1,1,0,0,[SJ SA],13,0.0000
[CJ DJ CA C9 SA ST HA H8 DK D9],CD,4,2,1,1,0,0,[CQ HT],13,0.3000
[CJ HJ CQ C8 ST S8 HA H7 DA DK],CH,4,2,1,0,0,0,[SQ H9],3,0.1000
[SJ HJ DJ CQ C8 SK HA H8 DA D9],SHD,5,2,0,0,0,0,[CK SQ],7,0.3000
[C9 C8 ST SK SQ S8 HQ DT DK D7],-,2,0,2,0,2,0,[DJ D8],2,0.0000
[CA CT CK C7 SK S9 HT H9 DQ D9],-,4,0,1,0,0,0,[HJ D7],2,0.0000
[SJ CA CK C9 C8 HT H8 H7 DK D9],S,5,0,1,0,0,0,[DQ D7],3,0.0000
[DJ CA CT C8 SA SK SQ HK DQ D7],D,4,1,0,0,0,0,[CQ S7],3,0.0000
[CA CT C8 C7 SK S9 S8 HQ H7 DQ],-,4,0,0,0,0,0,[HJ CQ],5,0.0000
[HJ CA CK C9 SA ST H7 DA D9 D8],H,4,2,1,1,0,0,[CQ S7],3,0.1000
[CT C9 C8 SA ST S8 HT HK HQ H9],-,3,1,2,1,1,0,[S9 D9],0,0.0000
[DJ CT C8 SQ S9 HA HQ H7 D8 D7],D,3,1,0,0,0,0,[C7 HT],10,0.0000
[CJ CA CT CK SA HA HQ DA DT DK],C,4,3,1,1,0,0,[DJ D7],2,1.0000
[CJ DJ C9 SA SQ S7 HT HQ D8 D7],CD,3,1,1,0,0,0,[ST D9],10,0.0000
[CK ST SK S8 S7 HT HK HQ H8 DT],-,1,0,3,0,2,0,[DJ H9],2,0.0000
[DJ CT C9 ST S8 S7 HT H8 DK D7],D,3,0,2,0,0,0,[HA HQ],14,0.0000
[SJ HJ C8 S7 HA HQ DT DK D9 D7],SH,3,1,1,0,1,0,[H8 DA],11,0.0000
[HJ CA CT C9 SQ S9 S7 HA DQ D9],H,4,1,0,0,0,0,[CJ HK],6,0.0000
