Hand,Skat,BestGame,ProbNull,SafeSuits,VoidSuits,TotalGaps,Blank8s,Gaps_C,Gaps_S,Gaps_H,Gaps_D
 [CA CJ C9 C8 C7 SJ ST S7 H8 D7]    ,[HQ HT],Null,0.55,2,0,2,1,0,1,1,0
 [C7 SA SK S9 S8 HK HT H9 H8 DT]    ,[CT DK],Null,0.05,1,0,5,0,0,3,1,1
 [CK C8 C7 S8 S7 HQ H9 DK DJ D7]    ,[SJ HT],Null,0.05,1,0,5,0,1,0,2,2
 [CK CT C8 S8 S7 H8 DA DQ DJ D9]    ,[CQ HK],Null,0.05,1,0,8,1,3,0,1,4
 [CA CT C9 C7 H8 H7 DA DJ D9 D8]    ,[HK DT],Null,0.3,2,1,2,0,1,0,0,1
 [CQ C8 S7 HQ H9 H7 DK DQ DT D7]    ,[CA SJ],Null,0.05,1,0,5,0,2,0,1,2
 [ST S8 HJ H8 H7 DK DQ DJ D9 D7]    ,[CK CQ],Null,0.25,3,1,2,0,0,2,0,0
 [C7 S9 S7 HJ HT H7 DK DJ DT D7]    ,[CA SK],Null,0.15,2,0,2,0,0,0,1,1
 [CT C9 C7 DK DQ DJ DT D9 D8 D7]    ,[SK H9],Null,1.0,4,2,0,0,0,0,0,0
 [CQ CJ C9 C8 S8 S7 HA HK HT H7]    ,[SA DQ],Null,0.1,2,1,4,0,1,0,3,0
 [CT C8 S8 HA HK HJ HT H9 H7 D8]    ,[SK DQ],Null,0.8,1,0,4,2,2,1,0,1
 [CK CQ CJ C9 C8 SK S7 H9 DT D8]    ,[HQ HT],Null,0.05,0,0,5,0,1,1,1,2
 [CK C9 HJ HT H9 H7 DK DJ DT D7]    ,[SA SK],Null,0.05,2,1,3,0,2,0,0,1
 [CK CQ C9 C8 C7 S8 S7 H8 H7 DQ]    ,[DA DJ],Null,0.1,3,0,1,0,0,0,0,1
 [C7 SQ ST S8 HQ HT H7 DJ DT D7]    ,[CJ DQ],Null,0.1,1,0,6,0,0,3,2,1
 [C9 SK SQ HA HK HT H9 DA DT D9]    ,[S7 D8],Null,0.05,0,0,9,0,1,2,4,2
 [C7 SQ S9 HK HQ H9 H7 DQ DT D7]    ,[CJ SK],Null,0.05,1,0,5,0,0,2,1,2
 [CA CK CJ C9 SQ S8 H9 H8 DT D7]    ,[S7 D8],Null,0.05,1,0,6,0,4,1,1,0
 [CA CK C9 C8 C7 HT H9 DT D8 D7]    ,[SA SJ],Null,0.15,3,1,2,0,0,0,2,0
 [CK CQ CT SK SQ ST S8 HQ DK D7]    ,[H8 D8],Null,0.05,0,0,8,0,3,3,1,1
 [C9 C8 C7 SK SQ S8 HK HQ DK D7]    ,[H9 H8],Null,0.05,1,0,6,0,0,3,2,1
 [C8 HK HQ HT H9 H7 DA DQ D9 D7]    ,[SJ DJ],Null,1.0,3,1,1,1,1,0,0,0
 [CT SJ S8 S7 HK HQ HT H8 DK D8]    ,[CJ C7],Null,0.05,1,0,6,0,1,0,3,2
 [CQ CT C9 SK SQ S8 DA DQ DT D9]    ,[HK H9],Null,0.05,1,1,10,0,3,3,0,4
 [CK CQ CT C7 SK S8 S7 DQ DT D9]    ,[C9 HK],Null,0.05,2,1,4,0,0,1,0,3
 [C8 SJ S8 S7 H7 DA DK DT D8 D7]    ,[CK HT],Null,1.0,3,0,1,1,1,0,0,0
 [CQ CT C8 SK S9 S8 HJ HT H8 H7]    ,[CK SJ],Null,0.25,2,1,5,0,3,2,0,0
 [SQ SJ ST S9 S7 DK DQ D9 D8 D7]    ,[C9 HA],Null,1.0,4,2,0,0,0,0,0,0
 [CK C9 C8 C7 SJ HK H9 DK DJ D9]    ,[ST DQ],Null,0.05,1,0,6,0,0,1,2,3
 [CA CK C9 C7 S9 S7 H9 H7 D9 D8]    ,[DK DQ],Null,0.35,2,0,3,0,2,0,0,1
 [C9 SQ ST S8 HK HJ H9 H8 D8 D7]    ,[CA C7],Null,0.05,1,0,5,0,1,3,1,0
 [C9 C7 SJ S7 HA HQ HT H7 DT D7]    ,[CQ SA],Null,0.25,1,0,5,0,0,1,3,1
 [CT C9 S8 S7 HA HK H9 H7 DT D7]    ,[CJ SA],Null,0.1,1,0,5,0,2,0,2,1
 [C7 SQ S7 HT H9 H8 DA DK DT D7]    ,[CK SK],Null,0.05,1,0,5,0,0,1,1,3
 [CJ C9 SK S9 S8 S7 H9 H7 DQ D8]    ,[CK HJ],Null,0.15,2,0,4,0,2,0,0,2
 [CQ CT C9 C8 SJ S7 HK HQ HT H8]    ,[DA DQ],Null,0.05,1,1,5,0,1,1,3,0
 [C8 SQ SJ ST S7 HQ H9 H7 DQ D8]    ,[C9 DA],Null,0.1,0,0,5,1,1,1,1,2
 [CQ CT C7 SK SQ SJ ST S7 H9 D8]    ,[HK DK],Null,0.1,0,0,5,1,2,1,1,1
 [CK CJ C8 C7 SA SJ S9 S8 S7 H7]    ,[HQ DQ],Null,1.0,4,1,0,0,0,0,0,0
 [CK CQ C8 C7 S8 H7 DK D9 D8 D7]    ,[SQ HK],Null,0.45,2,0,2,1,1,1,0,0
 [CT C9 C8 S7 HA HK HQ HT H7 DT]    ,[DJ D9],Null,0.2,1,0,4,0,1,0,2,1
 [CT C8 SK SJ S9 S7 H9 H8 DJ D7]    ,[HA DA],Null,0.25,1,0,4,0,2,0,1,1
 [CT C9 ST S8 HA HQ HT H9 H7 D7]    ,[CK DA],Null,0.1,2,0,4,0,2,2,0,0
 [C8 HQ HT H9 H8 DQ DT D9 D8 D7]    ,[CQ S9],Null,0.25,2,1,2,1,1,0,1,0
 [SK SQ SJ S7 HQ H9 H8 DT D9 D8]    ,[HT DQ],Null,0.15,1,1,4,0,0,2,1,1
 [CA CJ C8 C7 S9 S8 H8 H7 D9 D8]    ,[SA SJ],Null,0.45,1,0,3,0,1,1,0,1
 [S9 HJ H9 H8 H7 DA DK DT D8 D7]    ,[CK SK],Null,0.3,3,1,1,0,0,1,0,0
 [CA CT C8 C7 ST S9 H8 DA DK D9]    ,[CK HQ],Null,0.05,1,0,6,1,0,2,1,3
 [CJ CT C9 C8 C7 HK HT H8 H7 D9]    ,[ST DT],Null,0.5,3,1,1,0,0,0,0,1
 [CK CT C8 S9 H8 DA DK DJ DT D9]    ,[CQ SQ],Null,0.05,0,0,7,1,3,1,1,2
 [CK C9 C7 SA SK S9 S7 DJ D8 D7]    ,[HA HK],Null,0.15,2,1,3,0,1,2,0,0
 [CQ C9 SA SQ S9 S8 S7 H9 DT D9]    ,[CT HK],Null,0.05,1,0,5,0,2,0,1,2
 [C9 HK HQ HJ H8 H7 DA DJ D9 D8]    ,[CT SQ],Null,0.15,2,1,3,0,1,0,0,2
 [CK C9 C8 C7 SQ S7 DA DJ D9 D7]    ,[SK HT],Null,0.25,2,1,2,0,0,1,0,1
 [SK S9 S7 HK HT H9 H8 H7 DK D7]    ,[CA CK],Null,0.1,2,1,2,0,0,1,0,1
 [CT C7 SK SQ SJ S8 S7 HJ H9 H7]    ,[CK DQ],Null,0.6,3,1,1,0,1,0,0,0
 [CQ CT C9 HK HT H9 H7 DQ D8 D7]    ,[CA SQ],Null,0.05,2,1,4,0,3,0,0,1
 [CK CJ C8 C7 SJ S8 S7 H8 H7 D7]    ,[HQ DQ],Null,1.0,4,0,0,0,0,0,0,0
 [CK CJ C9 C7 SJ S8 HT H8 DQ D9]    ,[S9 HK],Null,0.2,1,0,6,0,0,2,2,2
 [CQ C7 SK SQ ST S9 S8 S7 DT D9]    ,[HA HQ],Null,0.1,2,1,3,0,1,0,0,2
 [ST HK HQ HT H9 DA DK DQ D8 D7]    ,[C9 SQ],Null,0.05,1,1,5,0,0,1,3,1
 [CT C9 C8 HA HQ HJ HT H8 DJ D9]    ,[S9 DK],Null,0.05,1,1,5,0,1,0,2,2
 [C9 C8 S7 H9 H7 DK DJ DT D8 D7]    ,[CQ HA],Null,0.65,3,0,1,0,1,0,0,0
 [SA SQ S8 S7 HK HQ HJ H8 D8 D7]    ,[CA CQ],Null,0.15,2,1,5,0,0,2,3,0
 [CA CK C9 C8 SQ ST S8 HA HJ H7]    ,[H9 D8],Null,0.2,1,1,8,0,3,3,2,0
 [CT C9 C7 SQ SJ ST S8 S7 H8 D9]    ,[CA D8],Null,1.0,2,0,2,1,0,0,1,1
 [SA SQ SJ ST S8 HQ H9 H7 DT D8]    ,[CQ DJ],Null,0.05,1,1,5,0,0,2,1,2
 [CK C9 S9 HQ HT H9 DT D9 D8 D7]    ,[SA S7],Null,0.05,1,0,6,0,2,1,3,0
 [CA CQ C7 S8 S7 HQ HJ H8 DT D7]    ,[ST S9],Null,0.05,1,0,6,0,2,0,3,1
 [CK CQ CJ C7 SK ST S9 H9 D8 D7]    ,[HK H7],Null,0.05,1,0,6,0,2,3,1,0
 [CK CT C9 SK ST S8 S7 HA HT D8]    ,[HK DA],Null,0.05,1,0,6,1,3,0,2,1
 [C9 C7 SA SQ SJ ST S9 H9 DA DQ]    ,[HK D9],Null,0.05,1,0,5,0,0,2,1,2
 [C8 C7 ST S8 HQ HT DA DJ D8 D7]    ,[S7 HK],Null,0.1,2,0,3,0,0,0,2,1
 [ST S9 S8 S7 HT H9 DK DT D9 D8]    ,[CA CK],Null,0.1,2,1,3,0,0,0,2,1
 [C8 C7 SJ ST S8 H7 DA DJ D9 D8]    ,[SK HA],Null,0.35,2,0,4,0,0,2,0,2
 [SK ST S9 S7 HK H8 H7 DQ D8 D7]    ,[CK HQ],Null,0.7,2,1,2,0,0,0,1,1
 [CQ CT C9 C8 S8 HK HQ HJ H9 H8]    ,[SA DQ],Null,0.05,1,1,3,1,1,1,1,0
 [CK CQ CJ CT C7 H8 DJ D9 D8 D7]    ,[SQ HA],Null,0.65,2,1,2,1,1,0,1,0
 [CQ C9 C8 HA HQ H9 H8 DQ D9 D7]    ,[CK SA],Null,0.05,1,1,6,0,2,0,3,1
 [CT C8 S8 HK HT H9 DK DQ DJ D7]    ,[CJ C9],Null,0.05,0,0,7,1,1,1,3,2
 [CQ C9 C8 SK SJ S7 H9 H8 DQ DT]    ,[HJ DJ],Null,0.05,0,0,7,0,2,2,1,2
 [C8 S9 S8 S7 H8 DA DQ DT D9 D7]    ,[HA HK],Null,0.95,2,0,2,2,1,0,1,0
 [CT C7 ST S8 S7 HA HT H9 H7 D8]    ,[DQ DJ],Null,0.65,1,0,3,1,1,0,1,1
 [CQ CT S9 S8 S7 HJ HT H9 DJ D9]    ,[C9 DT],Null,0.05,1,0,6,0,2,0,2,2
 [ST S8 S7 HJ H8 H7 DA DJ D8 D7]    ,[CK C9],Null,0.85,3,1,1,0,0,0,0,1
 [ST S7 HK HJ HT H9 H8 H7 DJ D9]    ,[CQ C9],Null,0.3,2,1,3,0,0,1,0,2
 [C7 S8 HQ H9 H7 DA DK DQ D8 D7]    ,[CA HA],Null,0.7,1,0,3,1,0,1,1,1
 [C8 C7 S9 S7 H8 DA DK DT D9 D7]    ,[CK HK],Null,1.0,3,0,1,1,0,0,1,0
 [CK CJ C8 C7 SQ ST S9 S7 H7 D8]    ,[HK D9],Null,1.0,3,0,1,1,0,0,0,1
 [CK CQ C8 C7 S7 DK DQ DJ DT D7]    ,[HA HK],Null,0.45,2,1,2,0,1,0,0,1
 [CA CK CJ CT C7 SK SQ S9 S7 H7]    ,[HQ DQ],Null,0.45,2,1,2,0,1,1,0,0
 [CA CK C9 C7 HT H7 DA DJ D8 D7]    ,[SK ST],Null,0.4,1,1,4,0,2,0,1,1
 [CT C9 ST S9 S7 H8 DJ D9 D8 D7]    ,[HA HQ],Null,0.25,2,0,3,1,2,0,1,0
 [CK CQ CJ C8 SA S9 S7 H9 DQ D7]    ,[ST S8],Null,0.05,0,0,6,0,3,1,1,1
 [CQ CJ C9 C8 SK S7 HT H8 H7 DT]    ,[SQ D9],Null,0.1,1,0,3,0,1,1,0,1
 [CQ CT C9 ST S7 H8 H7 DK DJ DT]    ,[HA DQ],Null,0.05,1,0,7,0,3,1,0,3
 [CK CJ C8 C7 SQ SJ S9 H8 H7 DK]    ,[H9 DT],Null,0.05,2,0,4,0,0,3,0,1
 [CK C9 C7 S7 HQ H8 DA DQ D8 D7]    ,[SK SQ],Null,0.1,1,0,5,0,1,0,2,2
 [C7 S8 S7 HA HJ H8 DA DJ D9 D8]    ,[CQ HK],Null,0.15,2,0,5,0,0,0,3,2
 [CQ CT S9 S8 S7 HA HT H8 H7 DT]    ,[SJ DK],Null,0.05,1,0,4,0,2,0,1,1
 [CT C9 SQ ST HA HT H8 DK DJ D7]    ,[HJ DQ],Null,0.05,0,0,9,0,2,2,3,2
 [CK SK S9 S8 S7 H7 DJ DT D9 D7]    ,[CJ CT],Null,0.2,3,0,1,0,1,0,0,0
 [C7 SK SQ ST S9 S8 S7 H8 H7 D8]    ,[C9 SJ],Null,1.0,3,0,1,1,0,0,0,1
 [CA CQ CJ C9 C8 S9 DK DQ D9 D8]    ,[HK HQ],Null,0.05,1,1,4,0,1,1,0,2
 [C8 C7 SJ S9 HT DA DK DQ D9 D8]    ,[SK H7],Null,0.1,1,0,5,0,0,2,1,2
 [CJ C7 SK ST S8 H8 DK D9 D8 D7]    ,[CT HJ],Null,0.25,1,0,5,1,1,3,1,0
 [CK C9 C8 SJ ST S8 HJ HT H7 D7]    ,[C7 DK],Null,0.25,1,0,4,0,1,2,1,0
 [C8 S9 S8 HJ HT H9 H8 DQ D9 D8]    ,[C9 SJ],Null,0.05,0,0,5,1,1,1,1,2
 [CK CQ C7 ST S8 H9 DA DJ D9 D7]    ,[CJ HQ],Null,0.15,0,0,6,0,2,2,1,1
 [CQ CT C8 SQ HA HQ HT H9 H7 D8]    ,[SK SJ],Null,0.05,1,0,5,1,3,1,0,1
 [CA CQ C9 C7 S8 HQ H7 DJ D9 D7]    ,[SK SQ],Null,0.15,1,0,4,1,2,1,1,0
 [CA CT C9 C7 ST S8 H9 H8 DQ D8]    ,[HT DJ],Null,0.15,0,0,6,0,1,2,1,2
 [CQ CJ C8 C7 SQ HQ H8 DA DJ D9]    ,[ST S8],Null,0.05,1,0,6,0,0,1,2,3
 [C8 SJ S8 S7 HQ H7 DK DT D8 D7]    ,[CA CK],Null,0.1,2,0,2,1,1,0,1,0
 [CA CK CT C8 C7 S7 DQ DJ DT D7]    ,[SQ H9],Null,0.45,3,1,1,0,0,0,0,1
 [CQ C9 C8 C7 HQ H9 DK DJ D9 D8]    ,[SQ SJ],Null,0.05,2,1,3,0,0,0,2,1
 [C9 SK S9 S8 S7 DA DK DJ D8 D7]    ,[CK HJ],Null,0.6,3,1,1,0,1,0,0,0
 [SQ S9 S7 HK HQ HJ H8 DQ DJ D7]    ,[C9 SK],Null,0.05,1,1,6,0,0,1,3,2
 [C9 SA SQ S8 HK HQ H7 DK D8 D7]    ,[CQ D9],Null,0.05,0,0,7,0,1,3,2,1
 [C8 C7 ST S7 HT H9 DA DT D8 D7]    ,[HQ HJ],Null,0.2,1,0,4,0,0,1,2,1
 [CT C9 SA SJ S9 S7 HK H8 DK D8]    ,[HJ HT],Null,0.1,0,0,7,0,2,1,2,2
 [S9 S7 HJ H8 H7 DK DQ DT D8 D7]    ,[CJ HA],Null,1.0,4,1,0,0,0,0,0,0
 [C7 SA ST S8 S7 HK HT H8 H7 D8]    ,[DJ D9],Null,0.95,2,0,2,1,0,1,0,1
 [C9 C8 C7 SA ST S9 S7 HQ HT H8]    ,[DA D9],Null,0.25,2,1,4,0,0,1,3,0
 [SK SQ S9 HQ HJ H7 DK DQ D9 D8]    ,[C9 ST],Null,0.05,1,1,7,0,0,3,2,2
 [CK CQ C9 C7 ST S9 S8 DK D9 D8]    ,[SJ HT],Null,0.15,1,1,4,0,1,1,0,2
 [CQ C8 SA SK ST S9 HA HQ H8 D9]    ,[HJ DK],Null,0.05,0,0,10,0,2,4,3,1
 [CQ CT C9 C8 C7 S7 DK DT D9 D7]    ,[HK HT],Null,1.0,4,1,0,0,0,0,0,0
 [C9 S7 HQ H8 DQ DJ DT D9 D8 D7]    ,[CK SJ],Null,0.2,2,0,3,0,1,0,2,0
 [CK CQ C9 C8 C7 SK S9 S8 HT D9]    ,[DA DQ],Null,0.1,1,0,4,0,0,2,1,1
 [CQ CT SQ SJ S9 S7 HJ H7 D8 D7]    ,[C9 HQ],Null,0.15,2,0,3,0,2,0,1,0
 [SA S9 S8 S7 H8 H7 DK DJ D8 D7]    ,[CA HQ],Null,0.9,3,1,1,0,0,1,0,0
 [CT C8 C7 S8 HA HJ HT H9 H8 D9]    ,[DK DQ],Null,0.1,1,0,3,1,0,1,1,1
 [CA CJ CT C8 C7 H7 DQ DT D8 D7]    ,[HK HQ],Null,1.0,4,1,0,0,0,0,0,0
 [CQ CJ CT S9 HK HQ HT H9 H7 D8]    ,[C9 DQ],Null,0.1,1,0,4,1,2,1,0,1
 [C7 SK SQ ST S8 HK HQ H9 H8 D7]    ,[CK DQ],Null,0.1,2,0,5,0,0,3,2,0
 [C9 SQ SJ S9 S7 HT H9 DQ D9 D7]    ,[CA HK],Null,0.1,1,0,4,0,1,0,2,1
 [CK CQ CT C7 SK S9 S8 H8 DT D7]    ,[SQ HK],Null,0.2,0,0,6,1,2,2,1,1
 [C8 S8 HT H9 H8 DA DK DQ D8 D7]    ,[SK SJ],Null,0.2,0,0,4,2,1,1,1,1
 [CK C9 C8 SA ST S9 S8 S7 HJ H8]    ,[CQ DQ],Null,0.2,2,1,4,0,2,0,2,0
 [CT C8 SA S8 S7 HQ HT DK DQ D8]    ,[SQ DJ],Null,0.05,0,0,8,0,2,1,2,3
 [CA CK CT C8 C7 S7 DK DQ DT D7]    ,[HQ H9],Null,0.35,3,1,2,0,0,0,0,2
 [CT C9 C8 SA SQ ST S8 S7 DT D7]    ,[HA DQ],Null,0.25,2,1,2,0,1,0,0,1
 [C9 HA HK H9 H8 H7 DQ DJ DT D7]    ,[CT SA],Null,0.1,2,1,2,0,1,0,0,1
