Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb
[DJ CQ C9 SK HT HK HQ H9 DK D7],D,1,1,1,0,1,0,[SA D8],11,0.0000
[DJ CA CK C8 C7 SQ S9 HK D9 D7],D,3,0,0,0,0,1,[H8 DQ],3,0.0000
[CA SK S9 S7 HA HK H8 H7 DQ D7],-,0,1,0,0,0,1,[HQ D8],3,0.0000
[CJ SJ CQ SA SK H8 H7 DT D9 D7],CS,2,1,1,0,0,0,[C7 DQ],3,0.0000
[SJ DJ CA CT CK SA SQ H9 DQ D7],SD,6,1,0,0,0,0,[CJ HK],6,0.6900
[DJ C8 C7 S9 HA HK H9 DT DK D8],D,1,1,3,1,2,0,[ST HT],20,0.0000
[SJ C9 SA S9 S8 HA H9 DK DQ D7],S,1,2,0,0,0,0,[DJ HQ],5,0.0000
[DJ CT C7 SK S7 H7 DA DQ D8 D7],D,2,1,0,0,0,0,[CJ S8],2,0.0000
[CA CT C8 SA SK HK HQ DA DT D7],-,2,2,1,1,0,2,[C9 H9],0,0.0000
[DJ CQ S9 S7 HT HK DT DK D8 D7],D,1,0,2,0,1,0,[C8 SQ],3,0.0000
[SJ CT CQ ST S7 HK HQ DT DK D8],S,2,0,2,0,1,1,[C7 H9],0,0.0000
[SJ DJ CQ SK SQ S9 H9 H7 DA DT],SD,2,1,2,1,1,0,[CT ST],20,0.0000
[SJ HJ CA CT SK HA HT HQ H9 D9],SH,2,1,2,1,0,0,[ST SQ],13,0.0000
[CJ CA CQ SK SQ HA H9 H8 DT D9],C,1,1,1,0,0,1,[S8 S7],0,0.0000
[CT CQ C7 ST SK HA H9 H7 DQ D9],-,2,2,1,0,0,2,[CA DA],22,0.0000
[SJ DJ CT ST S9 HA HT HQ D8 D7],SD,5,1,2,1,0,0,[CK C8],4,0.2300
[CJ CA CK C8 SA SK HA DT D8 D7],C,5,2,1,0,0,0,[CQ S9],3,0.2900
[SJ HJ DJ CK SQ S9 HA HK D9 D8],SHD,5,1,0,0,0,0,[C7 HQ],3,0.1000
[HJ C8 SA SQ S7 HA H9 DQ D9 D8],H,1,2,0,0,0,0,[C7 HK],4,0.0000
[HJ DJ C8 SA S9 HK H9 H7 DK DQ],HD,2,1,1,0,1,0,[SJ HT],12,0.0000
[CJ SJ CK CQ C7 S7 HT DA DK D8],CS,5,1,1,0,0,0,[S8 HQ],3,0.1100
[CA CQ C7 SA ST SQ H8 DT DQ D9],-,1,1,2,1,0,1,[SK H9],4,0.0000
[CK C9 C8 SA ST SK S9 DK D9 D8],-,2,1,1,1,1,0,[DJ H9],2,0.0000
[CA CT CQ C9 C8 S9 S8 HA HQ DT],-,4,1,2,0,0,2,[C7 ST],10,0.0000
[SJ HJ DJ CA CT CQ C8 SK SQ DQ],SHD,8,0,0,0,0,0,[C7 S8],0,0.9700
[CT C8 S9 S7 HA HK HQ H9 H7 DT],-,0,1,1,0,0,1,[SQ D9],3,0.0000
[CJ HJ CT SA ST S9 HT H9 DA D9],CH,3,3,2,2,0,0,[HA D7],11,0.5900
[CT C7 SA SK S8 HT H8 DK DQ D8],-,0,1,1,0,0,1,[H7 D9],0,0.0000
[CK C9 C8 SA SK S8 HA H9 DA DK],-,1,3,0,0,0,0,[H8 D7],0,0.0100
[CJ DJ CT ST SQ HT H7 DA DQ D9],CD,1,1,2,0,0,0,[S8 S7],0,0.0000
[CJ SJ DJ C7 S8 HA HK DA DK D8],CSD,4,2,1,1,0,0,[HQ DT],13,0.4700
[SJ HJ C9 SA SK SQ S7 HK DT D7],SH,2,1,2,0,0,0,[C7 HT],10,0.0000
[C8 C7 ST S9 S7 HA HQ H8 DT DK],-,1,1,2,0,0,1,[CT HK],14,0.0000
[CJ SJ CT CK CQ C9 C8 HA HQ D9],CS,7,1,0,0,0,0,[S7 D8],0,0.9600
[CJ CK ST SK SQ S9 S8 H9 DT D9],C,1,0,2,0,1,0,[HJ D8],2,0.0000
[CT CK CQ C9 C7 ST HT HQ DT D9],-,3,1,3,1,0,1,[HA D7],11,0.0000
[CJ ST SK S8 S7 H9 H7 DK DQ D7],C,0,0,1,0,1,0,[C9 H8],0,0.0000
[CJ DJ C8 ST SK SQ S9 S8 H9 DA],CD,5,1,0,0,0,1,[HJ CQ],5,0.4200
[CT CK C9 S9 HT H9 H8 DK DQ D9],-,2,0,1,0,0,1,[SJ HQ],5,0.0000
[HJ CK CQ SA ST SK S8 H8 H7 D7],H,3,1,1,1,1,0,[DJ C8],2,0.0000
[CJ SJ CA C9 C7 SQ S9 S7 H8 DA],CS,6,1,0,0,0,0,[C8 D7],0,0.6600
[SJ DJ CK C8 SA SK HA H8 DK DQ],SD,5,2,1,1,0,0,[CT HT],20,0.6600
[CA C9 SA SK S9 HK HQ DQ D9 D8],-,1,2,0,0,0,1,[CJ DA],13,0.0000
[CJ DJ CA CT CQ C9 C7 ST SQ H8],CD,6,0,1,0,0,0,[CK SK],8,0.8300
[DJ CQ C8 SA SQ S9 S8 S7 H9 H8],D,1,1,1,0,0,0,[HT DQ],13,0.0000
[SJ CA CK SK HA HQ DK DQ D8 D7],S,1,1,1,1,0,1,[HT HK],14,0.0000
[SJ CK SQ HT HK HQ H9 H8 DQ D8],S,1,0,1,0,1,0,[HJ DK],6,0.0000
[DJ C9 SA ST S9 S8 HA HT HK D8],D,0,2,2,2,0,0,[SQ HQ],6,0.0000
[HJ DJ CA CK SQ HA HT DK DQ D8],HD,5,2,1,1,0,0,[CT DA],21,0.8100
[DJ CA C9 C8 C7 SK SQ HT HK H9],D,6,0,1,0,1,0,[CJ HQ],5,0.7200
[CJ CA C7 S9 S7 HK H7 DA DT DK],C,2,1,1,1,1,0,[DJ D7],2,0.0000
[HJ CT CQ C8 SK S8 S7 HK H9 DT],H,2,0,1,0,1,1,[DK D7],4,0.0000
[CA SA SK S9 S8 HA HK DA D8 D7],-,0,3,0,0,0,1,[S7 H9],0,0.0600
[CJ CK CQ ST SK SQ S7 HA H9 D7],C,2,1,1,0,1,0,[C9 DK],4,0.0000
[SJ CA SA ST SK SQ HA DA DT D9],S,0,3,3,3,1,1,[HT DK],14,0.0000
[HJ CA CT CK C9 S8 DA DT DK D7],H,6,1,1,1,1,0,[C7 SK],4,0.9700
[CJ CA CQ SQ S8 HT HQ H9 H8 DA],C,2,1,1,0,0,1,[CT S9],10,0.0000
[HJ CA CQ C9 SQ S9 HA HT H7 DQ],H,6,1,1,1,0,0,[CJ C7],2,0.8300
[CJ SJ HJ DJ CK C8 ST SK H7 DQ],CSHD,7,0,1,0,0,0,[C9 HQ],3,1.0000
[CQ C9 C7 SK S9 HA HQ DA DT D8],-,1,2,2,2,0,0,[HT D7],10,0.0000
[DJ CT CQ SA S9 HA H9 H8 H7 D9],D,2,2,0,0,0,1,[C7 HK],4,0.0000
[SJ CT SA S9 S8 HT H7 DT DQ D7],S,1,1,2,0,0,1,[C8 S7],0,0.0000
[SJ CK C7 SA ST HA HT DT DQ D8],S,5,2,2,2,0,1,[HJ CT],12,0.6900
[SJ C9 C8 C7 S9 HT H7 DA DT DK],S,5,1,2,1,0,0,[HJ HQ],5,0.0200
[DJ CA CK SA SK HK HQ H7 DA D9],D,5,2,0,0,0,0,[SJ C9],2,0.3100
[CJ SJ HJ CT CK C7 SA S7 DA D7],CSH,5,2,0,0,0,0,[S9 DQ],3,0.9700
[CK CQ C9 C7 SA SQ S9 HK H7 DA],-,6,2,0,0,0,0,[DJ CA],13,0.6500
[SJ DJ C9 SK S8 HA HK H8 DT D8],SD,4,2,1,1,0,0,[HJ DA],13,0.2700
[CJ SJ C9 SK S8 HK H8 H7 DK DQ],CS,2,1,0,0,0,0,[C8 DA],11,0.0000
[HJ DJ CA C9 C7 S9 H9 DT DK D8],HD,6,0,1,0,1,0,[CJ HK],6,0.5300
[SJ HJ CK CQ SK SQ S8 HQ H9 DK],SH,5,1,0,0,0,0,[DJ HA],13,0.0200
[SJ DJ CQ SQ S8 S7 HK HQ DA DT],SD,1,2,1,1,0,0,[SA H9],11,0.0000
[CJ CA CK SA SK HK H7 DA DT D9],C,4,2,1,1,0,0,[CT S8],10,0.1200
[SJ DJ SA ST SK SQ S9 HK DQ D8],SD,0,1,1,1,1,0,[S8 HQ],3,0.0000
[CJ SJ DJ CT CQ SA SK DA DT DK],CSD,4,3,1,1,0,0,[HA HK],15,0.9500
[SJ HJ DJ CT CQ C8 S9 HA HT H7],SHD,6,1,1,1,0,0,[CK S8],4,0.9400
[HJ CA CT SA SK S8 HQ H9 H8 DQ],H,4,2,0,0,0,0,[C8 HA],11,0.0000
[CJ SJ DJ CT SA S8 HQ H9 DA D7],CSD,5,2,0,0,0,0,[CA H7],11,0.8500
[SJ DJ C8 C7 ST S9 HA H9 H8 DK],SD,2,1,1,0,0,0,[S8 D9],0,0.0000
[HJ CT C7 SQ S9 S8 H8 DA DT D9],H,1,2,1,1,0,1,[S7 HA],11,0.0000
[DJ CA CT C9 C8 ST SK H8 DT D7],D,3,0,2,0,0,1,[HK DQ],7,0.0000
[CT C9 C8 S7 HT HK H8 DA DT D7],-,1,1,2,1,1,1,[DQ D9],3,0.0000
[CJ HJ C9 SK SQ S9 S8 HT DT D7],CH,1,1,2,1,0,0,[HQ DA],14,0.0000
[HJ DJ ST S8 S7 HQ H9 DK DQ D7],HD,1,1,1,0,0,0,[SJ HA],13,0.0000
[SJ CA CT C8 S9 HK H7 DA DT D9],S,2,1,1,1,0,1,[HQ D7],3,0.0000
[C7 SK S9 H9 H8 H7 DK DQ D9 D7],-,0,0,0,0,0,0,[SQ S7],3,0.0000
[CA CT CK C8 C7 ST SK HK H7 D8],-,6,1,1,1,0,0,[SJ SA],13,0.9100
[CJ CK CQ SK S8 HA H9 H8 H7 DQ],C,1,1,1,0,1,0,[ST S9],10,0.0000
[CJ SJ CA CQ C8 SA ST HT HQ DA],CS,5,2,3,2,0,0,[DT DQ],13,0.8800
[CJ DJ C9 C8 SA S7 HK HQ DA D9],CD,5,2,0,0,0,0,[CT S9],10,0.3200
[CQ C7 SA ST SK HA HT HK DK D9],-,1,2,2,2,0,1,[CT D8],10,0.0000
[C9 SK S9 HK HQ H9 H8 DA D9 D7],-,0,1,0,0,0,1,[SA SQ],14,0.0000
[SJ CT C9 SA S7 HA HT DA D9 D7],S,3,3,1,1,0,0,[SQ DQ],6,0.1500
[SJ HJ CA CK C9 SK S8 H7 DT DQ],SH,3,0,1,0,0,0,[H9 DK],4,0.0000
[SJ HJ CA CT CK CQ SA ST HK H7],SH,6,1,2,1,0,1,[HT DT],20,0.9600
[DJ C9 SA SK S8 S7 HA HQ H8 DQ],D,1,2,1,1,1,1,[CA ST],21,0.0000
[CJ CT C8 SA ST S7 HA HT H8 H7],C,4,2,2,2,0,0,[CQ HQ],6,0.2700
[CJ DJ CT CK SQ HT HQ H7 D9 D7],CD,3,0,1,0,0,0,[CQ H9],3,0.0000
[C7 ST S7 HA HQ H7 DK DQ D8 D7],-,0,1,1,0,0,0,[C9 D9],0,0.0000
[CK CQ SK HK HQ H9 DA DK D8 D7],-,1,1,0,0,0,0,[DJ DQ],5,0.0000
[DJ CA CT ST S9 S7 HK HQ DK D8],D,2,0,1,0,0,0,[SJ DQ],5,0.0000
[CT CK CQ C8 SA SK S8 S7 HA HQ],-,5,2,0,0,0,0,[DJ H9],2,0.1400
[CA CT C8 C7 S8 HK H8 DT DQ D9],-,2,0,1,0,1,2,[S7 DK],4,0.0000
[CJ HJ CT CK CQ C9 C8 ST H7 D9],CH,7,0,1,0,0,0,[SQ S7],3,0.6900
[CQ C8 C7 ST S8 HA HT H8 D9 D8],-,2,1,2,1,1,0,[HJ HK],6,0.0000
[CK C9 C8 C7 SA ST S7 HK H9 D7],-,6,1,1,1,0,0,[CJ HJ],4,0.6800
[DJ CT C9 C8 S9 HA HK HQ H9 D7],D,3,1,0,0,0,1,[CQ SQ],6,0.0000
[CJ CT C8 S9 S8 HK H8 DA DK D7],C,2,1,0,0,0,1,[CK H7],4,0.0000
[CJ HJ CA CQ C8 HA HK DT DK D9],CH,5,1,2,1,1,0,[CT HT],20,0.8700
[SJ HJ CQ C8 SA ST SQ HA HT D7],SH,5,2,2,2,0,0,[CA S8],11,0.9600
[CJ CQ C7 SA S9 S7 HQ DA DT D7],C,4,2,1,1,0,0,[SJ HJ],4,0.8900
[SJ CT CK C8 ST HA H9 DQ D8 D7],S,2,1,1,0,0,1,[S7 D9],0,0.0000
[CJ SJ CQ SA SK SQ S9 S7 D9 D7],CS,1,1,0,0,0,0,[HK H7],4,0.0000
[CJ CA CQ HA HT HK HQ H9 DA DQ],C,4,2,0,0,0,1,[SJ H8],2,0.0700
[CJ HJ CK CQ C9 ST HA HT DA D9],CH,5,2,2,1,0,0,[SJ CT],12,1.0000
[CT CQ C8 SA S8 HA H9 DA DK DQ],-,4,3,0,0,0,0,[CJ H7],2,0.2100
[CA C7 SK SQ S8 HA HK H7 DA DQ],-,1,2,0,0,0,1,[C8 S9],0,0.0000
[DJ CA C9 C7 SK S9 HQ H9 H8 DQ],D,2,0,1,0,0,1,[S7 HT],10,0.0000
[SJ CK C9 C8 SA SK SQ HQ DA D8],S,5,2,0,0,0,0,[CJ S9],2,0.7900
[SJ DJ CA CT SA ST SQ S9 H9 DK],SD,5,1,1,1,0,0,[C9 S7],0,0.5900
[SJ C8 SK HA HQ H8 DA DQ D9 D7],S,0,2,0,0,0,0,[SQ HK],7,0.0000
[SJ CA C8 C7 SA SQ HQ DT D9 D8],S,5,1,0,0,0,1,[CK SK],8,0.0200
[HJ DJ C7 SQ S9 S8 HT H9 DT D7],HD,3,0,2,0,0,0,[CJ C9],2,0.0000
[HJ DJ CT C8 ST SK S9 S7 HK H7],HD,6,0,1,0,1,0,[CA CK],15,0.6400
[CJ SJ HJ DJ ST SQ S8 HK H7 D7],CSHD,5,0,1,0,0,0,[CK S9],4,0.5600
[CJ C9 C7 SA H9 H8 H7 DT DQ D7],C,3,2,1,0,0,0,[HJ HA],13,0.0000
[SJ C8 SK S7 HT HK HQ H9 DT D7],S,1,1,2,1,1,1,[CT HA],21,0.0000
[DJ CK C7 SK S9 S8 HK H7 DA DK],D,3,1,0,0,0,0,[CJ HJ],4,0.0000
[CJ HJ C7 SA ST S8 HK H9 H7 D9],CH,4,1,1,1,0,0,[SJ D8],2,0.1900
[DJ CK C8 ST SK S8 HA H8 H7 D8],D,4,2,1,0,1,0,[CA DA],22,0.0200
[CT CK CQ C8 HA HT H9 H8 DQ D9],-,2,1,2,1,0,1,[SK DT],14,0.0000
[HJ CK SQ S9 HT HK HQ H8 H7 DA],H,1,1,1,0,1,0,[C8 S8],0,0.0000
[SJ DJ CQ C8 C7 SA ST S9 HT DK],SD,6,1,2,1,0,0,[CA HQ],14,0.5600
[SJ HJ DJ CT C8 SA SK S9 HQ D8],SHD,5,2,0,0,0,0,[DA DK],15,0.5700
[CJ SJ HJ CA CK C9 C8 S7 HA DK],CSH,5,2,0,0,0,0,[DA D8],11,0.9600
[CJ HJ CT CK SQ S9 HK DA DT D7],CH,2,1,1,1,0,0,[S7 D8],0,0.0000
[DJ CK C7 HA HK HQ DK DQ D9 D8],D,1,1,1,0,1,0,[S9 DT],10,0.0000
[HJ CQ S7 HT HQ H7 DA DT D8 D7],H,1,1,2,1,0,0,[C8 SQ],3,0.0000
[CJ DJ CQ C9 C7 SK SQ H9 H8 D8],CD,6,0,0,0,0,0,[SJ HK],6,0.2300
[SJ C9 SQ S8 HA HK H9 H8 DQ D7],S,1,1,0,0,0,0,[CJ H7],2,0.0000
[HJ CA CT SA HK HQ H9 H8 H7 DK],H,4,2,0,0,0,0,[DJ HA],13,0.0000
[SJ DJ CA CK CQ S7 DA DQ D8 D7],SD,6,1,0,0,0,0,[CT HK],14,0.8800
[SJ DJ CA HK H9 DA DT DK D9 D8],SD,5,1,1,1,1,0,[CQ C9],3,0.5000
[CJ HJ DJ CQ C7 S8 HT HK HQ DA],CHD,5,2,1,1,1,0,[HA H9],11,0.9500
[C9 C8 SA ST SK S7 DA DT DQ D9],-,1,2,2,2,1,0,[C7 D8],0,0.0000
[SJ CA CT ST SK S9 HA HT HQ DA],S,4,2,2,1,1,0,[CJ S7],2,0.5400
[SJ HJ CA CQ SK SQ H7 DT DK D8],SH,5,1,1,0,1,0,[CK SA],15,0.2700
[HJ CT CK CQ C8 SA S8 HA HQ DK],H,6,2,0,0,0,0,[SJ D8],2,0.7900
[CJ ST SQ S9 HQ H7 DA DQ D9 D8],C,0,1,1,0,1,0,[HJ SK],6,0.0000
[CA CT C9 ST SQ S9 S8 H7 DA DK],-,2,1,1,0,0,1,[SJ S7],2,0.0000
[SJ CK SK SQ HT DA DT D9 D8 D7],S,1,1,2,1,0,0,[CJ HK],6,0.0000
[CK CQ C9 C8 SA SQ HQ DK D9 D8],-,2,1,1,0,1,0,[DT DQ],13,0.0000
[CJ DJ CT C9 SA H9 H7 DT D9 D7],CD,3,1,2,0,0,0,[CQ HT],13,0.0000
[CJ HJ DJ C8 S9 S8 HT H8 DK D7],CHD,3,2,1,0,0,0,[SA DA],22,0.0400
[SA SK S9 S8 S7 HT H9 H8 DT D8],-,0,1,2,1,1,1,[HA HK],15,0.0000
[HJ CK C9 C7 ST H9 H8 DQ D8 D7],H,3,0,1,0,0,0,[C8 D9],0,0.0000
[C9 SA SQ S8 HT HK HQ H9 DA DT],-,0,2,2,1,1,1,[CA D9],11,0.0000
[SJ DJ CT CK SA SQ S9 S8 H8 D7],SD,2,2,0,0,0,0,[HA DK],15,0.0000
[HJ DJ CK C7 SA ST S8 DA DK D7],HD,5,3,1,1,0,0,[SJ HA],13,0.9500
[CJ HJ DJ CA CT CQ C9 SA SK S8],CHD,5,1,0,0,0,0,[S9 H7],0,0.8500
[HJ DJ CA CT CK C9 C8 SA SQ D9],HD,8,1,0,0,0,0,[CQ D8],3,0.9800
[HJ CA CT C9 SA SK S9 HT HQ DK],H,5,1,1,0,0,1,[SJ DT],12,0.1300
[DJ CA CT CQ C9 ST HA H8 H7 DT],D,6,1,0,0,0,2,[C7 H9],0,0.5200
[SJ HJ CT CQ C9 C7 HT H8 DA DK],SH,6,1,1,0,0,0,[SQ D7],3,0.1000
[CJ HJ DJ CK CQ SK SQ DK D9 D8],CHD,6,0,0,0,0,0,[CA S9],11,0.1500
[SJ CA CT CK C7 SA SQ S7 DK D7],S,3,1,0,0,0,1,[HK HQ],7,0.0000
[CJ DJ CT SA S9 HA H9 DT DQ D7],CD,4,2,1,0,0,0,[C7 H8],0,0.0000
[SJ CA CT CK SK S8 S7 H9 D9 D8],S,5,1,0,0,0,0,[HJ SA],13,0.3000
[SJ HJ DJ C9 C7 S9 HK DA DK D8],SHD,5,1,0,0,0,0,[SQ H7],3,0.0100
[SJ CA ST HA HT HQ DA DK DQ D8],S,0,2,3,2,1,1,[S9 DT],10,0.0000
[HJ DJ CK C9 HT HK HQ H7 DA D9],HD,5,1,2,1,1,0,[C7 DT],10,0.0100
[DJ CA CT C8 SA HA HK H9 DA D8],D,4,3,0,0,0,0,[S8 S7],0,0.1000
[SJ HJ C7 SA SK S9 HT HQ H8 H7],SH,1,2,1,0,0,0,[DA D8],11,0.0000
[HJ CT CK SQ HT DT DQ D9 D8 D7],H,1,0,2,0,0,1,[HQ H7],3,0.0000
[DJ CA CK SA S9 S7 HA HK DT DQ],D,1,2,2,1,0,1,[HT HQ],13,0.0000
[CJ SJ CA C9 SK HK HQ H9 DQ D7],CS,5,0,0,0,0,0,[HJ H8],2,0.2800
[CJ DJ CA CK CQ C8 C7 ST DA DQ],CD,6,1,0,0,0,1,[S7 DK],4,0.7400
[HJ CK C7 ST S7 HA HT HQ H7 D7],H,1,1,3,1,0,0,[DT D8],10,0.0000
