Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,BlankTens,MaxSuitLen,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb,PlayedCards,DiscardedCards,PostJacksMask,PostTrumpCount,PostAces,PostTens,PostAttachedTens,PostTenKingSmall,PostSkatFulls
[CJ HJ C9 S7 HA HK HQ H8 DK DQ],CH,3,1,0,0,0,4,0,0,[C8 SA],11,0.0000,[CJ HJ C9 S7 HA HK HQ H8 DK DQ],,-,-,-,-,-,-,-
[DJ CA C9 C8 C7 SK S8 S7 DK DQ],D,5,0,0,0,0,4,0,0,[H9 H8],0,0.0000,[DJ CA C9 C8 C7 SK S8 S7 DK DQ],,-,-,-,-,-,-,-
[CJ CT C9 C7 S8 HK HQ H7 DK DQ],C,4,0,0,0,0,3,0,0,[ST HT],20,0.0000,[CJ CT C9 C7 S8 HK HQ H7 DK DQ],,-,-,-,-,-,-,-
[CJ HJ CQ SA SK S9 S7 HQ DA D8],CH,3,2,0,0,0,4,0,0,[SJ DK],6,0.0000,[CJ HJ CQ SA SK S9 S7 HQ DA D8],,-,-,-,-,-,-,-
[DJ CA CQ C9 SA SQ S9 HT H9 D9],D,4,1,1,0,0,3,0,0,[HK DK],8,0.0000,[DJ CA CQ C9 SA SQ S9 HT H9 D9],,-,-,-,-,-,-,-
[CJ HJ DJ CK C9 ST SK DK DQ D7],CHD,5,0,1,0,0,3,0,0,[CQ S9],3,0.1000,[CJ HJ DJ CK C9 ST SK DK DQ D7],,-,-,-,-,-,-,-
[CJ DJ C9 C8 S8 S7 HA HK DK DQ],CD,4,1,0,0,0,2,0,0,[CT H7],10,0.0000,[CJ DJ C9 C8 S8 S7 HA HK DK DQ],,-,-,-,-,-,-,-
[HJ DJ CA C8 ST SK SQ H7 DA DK],HD,4,1,1,0,0,3,0,0,[HA HQ],14,0.0000,[HJ DJ CA C8 ST SK SQ H7 DA DK],,-,-,-,-,-,-,-
[CA CK CQ HT H7 DT DK D9 D8 D7],-,3,0,2,0,0,5,1,0,[SJ S9],2,0.0000,[CA CK CQ HT H7 DT DK D9 D8 D7],,-,-,-,-,-,-,-
[CJ DJ CK SA S9 HA HT H9 DQ D8],CD,3,2,1,1,0,3,0,0,[CQ HQ],6,0.0000,[CJ DJ CK SA S9 HA HT H9 DQ D8],,-,-,-,-,-,-,-
[SJ HJ CA C8 C7 SA SQ HK H9 D7],SH,5,1,0,0,0,3,0,0,[SK D9],4,0.0000,[SJ HJ CA C8 C7 SA SQ HK H9 D7],,-,-,-,-,-,-,-
[SJ DJ CT C8 S7 HT H8 DA DK D9],SD,4,1,1,0,0,3,0,0,[CQ DT],13,0.0000,[SJ DJ CT C8 S7 HT H8 DA DK D9],,-,-,-,-,-,-,-
[SJ HJ CT C9 S9 S8 HK H7 DK D9],SH,4,0,0,0,0,2,0,0,[SQ H8],3,0.0000,[SJ HJ CT C9 S9 S8 HK H7 DK D9],,-,-,-,-,-,-,-
[SA SK S9 S7 H8 H7 DA DK DQ D8],-,0,2,0,0,0,4,0,0,[HQ D9],3,0.0000,[SA SK S9 S7 H8 H7 DA DK DQ D8],,-,-,-,-,-,-,-
[CT CQ C8 C7 ST S9 HA HT H8 D8],-,4,1,2,1,0,4,0,0,[DA DQ],14,0.0000,[CT CQ C8 C7 ST S9 HA HT H8 D8],,-,-,-,-,-,-,-
[CJ DJ CK C7 HQ DT DK DQ D8 D7],CD,4,0,1,0,0,5,1,0,[CQ D9],3,0.0000,[CJ DJ CK C7 HQ DT DK DQ D8 D7],,-,-,-,-,-,-,-
[CJ DJ CT CQ C7 ST H7 DA D8 D7],CD,5,1,1,0,1,3,0,0,[HT D9],10,0.0000,[CJ DJ CT CQ C7 ST H7 DA D8 D7],,-,-,-,-,-,-,-
[CT CQ C9 C7 ST HQ H8 DK D9 D8],-,4,0,1,0,1,4,0,0,[CA SA],22,0.0000,[CT CQ C9 C7 ST HQ H8 DK D9 D8],,-,-,-,-,-,-,-
[HJ CK CQ SA S7 HA HT DK DQ D8],H,3,2,1,1,0,3,0,0,[ST D7],10,0.0000,[HJ CK CQ SA S7 HA HT DK DQ D8],,-,-,-,-,-,-,-
[DJ CT C9 C8 SK SQ HA HK H9 DQ],D,4,1,0,0,0,3,0,0,[S8 D8],0,0.0000,[DJ CT C9 C8 SK SQ HA HK H9 DQ],,-,-,-,-,-,-,-
[SJ HJ ST SQ S7 HT H9 DA DT DK],SH,2,1,3,1,0,3,0,0,[CA S8],11,0.0000,[SJ HJ ST SQ S7 HT H9 DA DT DK],,-,-,-,-,-,-,-
[HJ CA C9 S8 HT HQ DT DK D9 D8],H,3,0,2,0,0,4,1,0,[SK HK],8,0.0000,[HJ CA C9 S8 HT HQ DT DK D9 D8],,-,-,-,-,-,-,-
[CJ HJ DJ CK CQ C9 C7 ST SQ DT],CHD,7,0,2,0,1,4,0,0,[SK DQ],7,0.0500,[CJ HJ DJ CK CQ C9 C7 ST SQ DT],,-,-,-,-,-,-,-
[DJ SA SK SQ HT HK H9 H8 DT D8],D,1,1,2,0,0,4,1,0,[CJ C7],2,0.0000,[DJ SA SK SQ HT HK H9 H8 DT D8],,-,-,-,-,-,-,-
[DJ CT ST S8 S7 HK DT DQ D9 D8],D,2,0,2,0,0,4,0,0,[C7 HA],11,0.0000,[DJ CT ST S8 S7 HK DT DQ D9 D8],,-,-,-,-,-,-,-
[SJ DJ C9 ST SK S8 HT H8 H7 D7],SD,3,0,2,0,0,3,1,0,[S9 HQ],3,0.0000,[SJ DJ C9 ST SK S8 HT H8 H7 D7],,-,-,-,-,-,-,-
[CJ DJ C7 ST S8 S7 HQ H8 DT D8],CD,3,0,2,0,0,3,0,0,[SJ CQ],5,0.0000,[CJ DJ C7 ST S8 S7 HQ H8 DT D8],,-,-,-,-,-,-,-
[DJ CT CK SK HQ H8 DT DK D8 D7],D,3,0,1,0,0,4,1,0,[S8 S7],0,0.0000,[DJ CT CK SK HQ H8 DT DK D8 D7],,-,-,-,-,-,-,-
[CT CK C9 ST S7 HT HK DA D9 D8],-,3,1,2,0,0,3,0,0,[CA SK],15,0.0000,[CT CK C9 ST S7 HT HK DA D9 D8],,-,-,-,-,-,-,-
[CT CK CQ C7 ST SQ S9 DK D9 D7],-,4,0,1,0,0,4,0,0,[SK HT],14,0.0000,[CT CK CQ C7 ST SQ S9 DK D9 D7],,-,-,-,-,-,-,-
[CJ CA CK C7 S9 S7 HT H9 H7 DK],C,4,0,1,0,0,3,0,0,[CQ C9],3,0.0000,[CJ CA CK C7 S9 S7 HT H9 H7 DK],,-,-,-,-,-,-,-
[HJ SA SK S8 HK H9 H8 H7 DQ D9],H,1,1,0,0,0,4,0,0,[ST HT],20,0.0000,[HJ SA SK S8 HK H9 H8 H7 DQ D9],,-,-,-,-,-,-,-
[CA C9 ST S9 S7 HT DA DK D9 D8],-,2,1,2,0,1,4,0,0,[CJ SJ],4,0.0000,[CA C9 ST S9 S7 HT DA DK D9 D8],,-,-,-,-,-,-,-
[SJ C9 SA HA H9 H8 H7 DA DQ D8],S,2,3,0,0,0,4,0,0,[HJ S8],2,0.0000,[SJ C9 SA HA H9 H8 H7 DA DQ D8],,-,-,-,-,-,-,-
[CQ C7 SA SQ S9 S8 HA H9 H7 DK],-,2,2,0,0,0,4,0,0,[HQ DT],13,0.0000,[CQ C7 SA SQ S9 S8 HA H9 H7 DK],,-,-,-,-,-,-,-
[HJ CQ C9 SA S9 S8 HA HQ DA D7],H,3,3,0,0,0,3,0,0,[HK DQ],7,0.0000,[HJ CQ C9 SA S9 S8 HA HQ DA D7],,-,-,-,-,-,-,-
[CK C8 SA SK S9 DA DK D9 D8 D7],-,2,2,0,0,0,5,0,0,[HA H9],11,0.0000,[CK C8 SA SK S9 DA DK D9 D8 D7],,-,-,-,-,-,-,-
[CJ HJ CK C9 C7 S7 HK DT DQ D7],CH,5,0,1,0,0,3,0,0,[ST SK],14,0.0000,[CJ HJ CK C9 C7 S7 HK DT DQ D7],,-,-,-,-,-,-,-
[CJ C8 ST S8 HA HT HQ H9 DA DT],C,2,2,3,2,0,4,0,0,[SA SK],15,0.0000,[CJ C8 ST S8 HA HT HQ H9 DA DT],,-,-,-,-,-,-,-
[CT CQ C8 SA S8 H8 DA DK DQ D8],-,3,2,0,0,0,4,0,0,[CJ HJ],4,0.0000,[CT CQ C8 SA S8 H8 DA DK DQ D8],,-,-,-,-,-,-,-
[CJ SJ C8 ST S9 S8 S7 HT H8 DA],CS,3,1,2,0,0,4,0,0,[DQ D8],3,0.0000,[CJ SJ C8 ST S9 S8 S7 HT H8 DA],,-,-,-,-,-,-,-
[HJ CQ C8 C7 SK HK H7 DA DT D7],H,4,1,1,1,0,3,0,0,[H9 D9],0,0.0000,[HJ CQ C8 C7 SK HK H7 DA DT D7],,-,-,-,-,-,-,-
[SJ C9 C8 SK S7 HA H8 DT DK D7],S,3,1,1,0,0,3,1,0,[DA D9],11,0.0000,[SJ C9 C8 SK S7 HA H8 DT DK D7],,-,-,-,-,-,-,-
[CK C8 SA SK SQ S9 S8 H9 H8 D8],-,2,1,0,0,0,5,0,0,[CT C7],10,0.0000,[CK C8 SA SK SQ S9 S8 H9 H8 D8],,-,-,-,-,-,-,-
[CJ DJ CT CK SA S7 HK H8 DT DQ],CD,4,1,1,0,0,2,0,0,[DK D8],4,0.0000,[CJ DJ CT CK SA S7 HK H8 DT DQ],,-,-,-,-,-,-,-
[CA CK CQ SK SQ S7 HA HK DK D9],-,3,1,0,0,0,3,0,0,[H9 DT],10,0.0000,[CA CK CQ SK SQ S7 HA HK DK D9],,-,-,-,-,-,-,-
[CA CK CQ C8 S9 S8 HT HK HQ H8],-,4,0,1,0,0,4,1,0,[SJ DT],12,0.0000,[CA CK CQ C8 S9 S8 HT HK HQ H8],,-,-,-,-,-,-,-
[CJ HJ C9 C8 ST SQ HT HQ DT DK],CH,4,0,3,0,0,2,0,0,[CT CQ],13,0.0000,[CJ HJ C9 C8 ST SQ HT HQ DT DK],,-,-,-,-,-,-,-
[DJ CA CT C7 S9 S8 HA H8 DK D7],D,4,1,0,0,0,3,0,0,[SA DQ],14,0.0000,[DJ CA CT C7 S9 S8 HA H8 DK D7],,-,-,-,-,-,-,-
[DJ CT CK C8 S8 S7 HA H9 DK D9],D,4,1,0,0,0,3,0,0,[SJ H7],2,0.0000,[DJ CT CK C8 S8 S7 HA H9 DK D9],,-,-,-,-,-,-,-
[CJ HJ DJ HK H9 H7 DA DT D9 D8],CHD,3,1,1,1,0,4,0,0,[CQ C9],3,0.0000,[CJ HJ DJ HK H9 H7 DA DT D9 D8],,-,-,-,-,-,-,-
[DJ CA CK C8 SA SK S9 H7 DK DQ],D,4,1,0,0,0,3,0,0,[CT S7],10,0.0000,[DJ CA CK C8 SA SK S9 H7 DK DQ],,-,-,-,-,-,-,-
[DJ CK C9 C7 HT HK H9 H7 DT D9],D,4,0,2,0,0,4,1,0,[SJ SA],13,0.0000,[DJ CK C9 C7 HT HK H9 H7 DT D9],,-,-,-,-,-,-,-
[SJ HJ CK SQ S8 HA HQ DA DQ D7],SH,3,2,0,0,0,3,0,0,[CA C9],11,0.0000,[SJ HJ CK SQ S8 HA HQ DA DQ D7],,-,-,-,-,-,-,-
[CJ SJ DJ SA S8 S7 DA DQ D9 D8],CSD,3,2,0,0,0,4,0,0,[DT D7],10,0.0500,[CJ SJ DJ SA S8 S7 DA DQ D9 D8],,-,-,-,-,-,-,-
[HJ DJ CK SA SK SQ S9 HT DA DQ],HD,3,2,1,0,1,4,0,0,[CA C7],11,0.0000,[HJ DJ CK SA SK SQ S9 HT DA DQ],,-,-,-,-,-,-,-
[DJ CA CT SA ST SQ S8 S7 DK D7],D,3,1,1,1,0,5,0,0,[SJ C7],2,0.0000,[DJ CA CT SA ST SQ S8 S7 DK D7],,-,-,-,-,-,-,-
[CJ DJ CT CQ C7 SA S8 DA DT DK],CD,5,2,1,1,0,3,0,0,[S7 DQ],3,0.9000,[CJ DJ CT CQ C7 SA S8 DA DT DK],,-,-,-,-,-,-,-
[SJ DJ C9 SA SK H9 DT DK DQ D7],SD,3,1,1,0,0,4,1,0,[ST H7],10,0.0000,[SJ DJ C9 SA SK H9 DT DK DQ D7],,-,-,-,-,-,-,-
[DJ CK SA SK S8 HT HK HQ H8 DQ],D,2,1,1,0,0,4,1,0,[SJ CT],12,0.0000,[DJ CK SA SK S8 HT HK HQ H8 DQ],,-,-,-,-,-,-,-
[SJ DJ CT SA SK SQ S7 HQ H8 DQ],SD,3,1,0,0,0,4,0,0,[S8 DT],10,0.0000,[SJ DJ CT SA SK SQ S7 HQ H8 DQ],,-,-,-,-,-,-,-
[CJ CT C9 SK SQ HQ H9 DA DT DK],C,3,1,1,1,0,3,0,0,[ST HA],21,0.0000,[CJ CT C9 SK SQ HQ H9 DA DT DK],,-,-,-,-,-,-,-
[CJ DJ CK C8 SQ HQ H8 DT D8 D7],CD,4,0,1,0,0,3,0,0,[CQ SA],14,0.0000,[CJ DJ CK C8 SQ HQ H8 DT D8 D7],,-,-,-,-,-,-,-
[CQ C8 C7 ST S7 HQ H7 DA DT D7],-,3,1,2,1,0,3,0,0,[CA S9],11,0.0000,[CQ C8 C7 ST S7 HQ H7 DA DT D7],,-,-,-,-,-,-,-
[DJ CA CT CK C8 ST S8 H8 H7 DA],D,5,1,1,0,0,4,0,0,[S9 DK],4,0.0000,[DJ CA CT CK C8 ST S8 H8 H7 DA],,-,-,-,-,-,-,-
[CJ CA CT SQ S8 HT H9 H8 H7 DA],C,3,1,1,0,0,4,0,0,[CQ S7],3,0.0000,[CJ CA CT SQ S8 HT H9 H8 H7 DA],,-,-,-,-,-,-,-
[SJ HJ CK S8 S7 HA H9 H8 DA DQ],SH,3,2,0,0,0,3,0,0,[SK S9],4,0.0000,[SJ HJ CK S8 S7 HA H9 H8 DA DQ],,-,-,-,-,-,-,-
[CJ DJ CA CK S8 HT HQ H8 H7 D9],CD,4,0,1,0,0,4,0,0,[C8 DT],10,0.0000,[CJ DJ CA CK S8 HT HQ H8 H7 D9],,-,-,-,-,-,-,-
[SJ C9 C8 S9 S7 HT HQ H7 DQ D8],S,3,0,1,0,0,3,0,0,[SQ HK],7,0.0000,[SJ C9 C8 S9 S7 HT HQ H7 DQ D8],,-,-,-,-,-,-,-
[HJ DJ CA C9 SK S8 H9 H8 D9 D8],HD,4,0,0,0,0,2,0,0,[HT HK],14,0.0000,[HJ DJ CA C9 SK S8 H9 H8 D9 D8],,-,-,-,-,-,-,-
[SJ HJ DJ CA CQ HA HK DT D9 D7],SHD,5,1,1,0,0,3,0,0,[S7 H9],0,0.4500,[SJ HJ DJ CA CQ HA HK DT D9 D7],,-,-,-,-,-,-,-
[CJ HJ CA C8 SA SK S7 H8 DT D8],CH,4,1,1,0,0,3,0,0,[C9 ST],10,0.0000,[CJ HJ CA C8 SA SK S7 H8 DT D8],,-,-,-,-,-,-,-
[CJ SJ CA CQ C8 SK S9 HA H7 DK],CS,5,1,0,0,0,3,0,0,[C9 DA],11,0.0000,[CJ SJ CA CQ C8 SK S9 HA H7 DK],,-,-,-,-,-,-,-
[SJ HJ CA CK CQ C9 C8 SA H9 DA],SH,7,2,0,0,0,5,0,0,[C7 SQ],3,0.9500,[SJ HJ CA CK CQ C9 C8 SA H9 DA],,-,-,-,-,-,-,-
[HJ CT C9 SA ST S9 S8 HT HK D8],H,3,1,2,1,0,4,0,0,[S7 H8],0,0.0000,[HJ CT C9 SA ST S9 S8 HT HK D8],,-,-,-,-,-,-,-
[HJ C9 C8 SA SQ HT DA DK D8 D7],H,3,2,1,0,1,4,0,0,[S9 H7],0,0.0000,[HJ C9 C8 SA SQ HT DA DK D8 D7],,-,-,-,-,-,-,-
[CJ HJ CQ C9 C7 ST S7 HA HK D9],CH,5,1,1,0,0,3,0,0,[S8 H8],0,0.0000,[CJ HJ CQ C9 C7 ST S7 HA HK D9],,-,-,-,-,-,-,-
[SJ HJ DJ C8 SA SQ S9 S8 H9 H7],SHD,4,1,0,0,0,4,0,0,[CJ ST],12,0.0500,[SJ HJ DJ C8 SA SQ S9 S8 H9 H7],,-,-,-,-,-,-,-
[DJ CK SA SK S9 HQ H8 DK DQ D8],D,2,1,0,0,0,3,0,0,[HK DT],14,0.0000,[DJ CK SA SK S9 HQ H8 DK DQ D8],,-,-,-,-,-,-,-
[CQ S9 S8 HA HT H8 DA DT DK D7],-,1,2,2,2,0,4,1,0,[CJ D9],2,0.0000,[CQ S9 S8 HA HT H8 DA DT DK D7],,-,-,-,-,-,-,-
[SJ DJ C7 ST S7 HA HT HK H8 D8],SD,3,1,2,1,0,4,1,0,[HJ CT],12,0.0000,[SJ DJ C7 ST S7 HA HT HK H8 D8],,-,-,-,-,-,-,-
[CJ CT CK CQ S8 HQ H9 H7 DK D9],C,4,0,0,0,0,3,0,0,[S7 DA],11,0.0000,[CJ CT CK CQ S8 HQ H9 H7 DK D9],,-,-,-,-,-,-,-
[CJ CQ ST SQ HT H8 DA D9 D8 D7],C,2,1,2,0,0,4,0,0,[SJ HK],6,0.0000,[CJ CQ ST SQ HT H8 DA D9 D8 D7],,-,-,-,-,-,-,-
[CJ HJ CT CK CQ S7 H8 DT D9 D8],CH,5,0,1,0,0,3,0,0,[C8 S8],0,0.0000,[CJ HJ CT CK CQ S7 H8 DT D9 D8],,-,-,-,-,-,-,-
[SJ HJ ST S9 S7 HQ H9 H8 DT D9],SH,2,0,2,0,0,3,0,0,[DJ C8],2,0.0000,[SJ HJ ST S9 S7 HQ H9 H8 DT D9],,-,-,-,-,-,-,-
[DJ CK C8 ST SK SQ HQ H9 H8 DQ],D,3,0,1,0,0,3,0,0,[HJ DA],13,0.0000,[DJ CK C8 ST SK SQ HQ H9 H8 DQ],,-,-,-,-,-,-,-
[CA CQ SK S9 HA HT DT DQ D9 D8],-,2,1,2,1,0,4,0,0,[C8 SA],11,0.0000,[CA CQ SK S9 HA HT DT DQ D9 D8],,-,-,-,-,-,-,-
[CJ CA CT CK C9 SA S9 S7 H7 DK],C,5,1,0,0,0,4,0,0,[HT HK],14,0.0000,[CJ CA CT CK C9 SA S9 S7 H7 DK],,-,-,-,-,-,-,-
[HJ CQ C7 SQ S7 H9 H8 DA DT D8],H,3,1,1,1,0,3,0,0,[CJ C8],2,0.0000,[HJ CQ C7 SQ S7 H9 H8 DA DT D8],,-,-,-,-,-,-,-
[CJ SJ DJ ST HT H9 H8 DT DK DQ],CSD,3,0,3,0,1,3,0,0,[HJ HK],6,0.0000,[CJ SJ DJ ST HT H9 H8 DT DK DQ],,-,-,-,-,-,-,-
[SJ DJ C7 ST SQ S8 DA DK DQ D8],SD,3,1,1,0,0,4,0,0,[HK D9],4,0.0000,[SJ DJ C7 ST SQ S8 DA DK DQ D8],,-,-,-,-,-,-,-
[DJ CT C9 SK SQ S9 S8 S7 DA D9],D,3,1,0,0,0,5,0,0,[CJ H9],2,0.0000,[DJ CT C9 SK SQ S9 S8 S7 DA D9],,-,-,-,-,-,-,-
[HJ DJ CK C8 S8 HQ H9 H7 DT D7],HD,4,0,1,0,0,3,0,0,[CT S7],10,0.0000,[HJ DJ CK C8 S8 HQ H9 H7 DT D7],,-,-,-,-,-,-,-
[SJ DJ CK CQ C9 C7 S9 HQ DT D8],SD,6,0,1,0,0,4,0,0,[HK H7],4,0.0000,[SJ DJ CK CQ C9 C7 S9 HQ DT D8],,-,-,-,-,-,-,-
[CJ SJ C7 SA ST S9 S8 DK D9 D8],CS,3,1,1,1,0,4,0,0,[DT DQ],13,0.0000,[CJ SJ C7 SA ST S9 S8 DK D9 D8],,-,-,-,-,-,-,-
[CQ C8 ST SK S9 S8 HQ H8 DK D8],-,2,0,1,0,0,4,1,0,[CK H9],4,0.0000,[CQ C8 ST SK S9 S8 HQ H8 DK D8],,-,-,-,-,-,-,-
[DJ CT CK CQ C9 C7 S9 H9 H8 D8],D,6,0,0,0,0,5,0,0,[DT DQ],13,0.0000,[DJ CT CK CQ C9 C7 S9 H9 H8 D8],,-,-,-,-,-,-,-
[SJ HJ CT C7 ST SQ HT HQ DT D8],SH,4,0,3,0,0,2,0,0,[SK S8],4,0.0000,[SJ HJ CT C7 ST SQ HT HQ DT D8],,-,-,-,-,-,-,-
[CJ SJ CA C8 SA SQ S9 HA DK D8],CS,4,2,0,0,0,3,0,0,[S8 H7],0,0.1500,[CJ SJ CA C8 SA SQ S9 HA DK D8],,-,-,-,-,-,-,-
[DJ CT C8 C7 SA HK H9 DA DT D9],D,4,2,1,1,0,3,0,0,[HA HQ],14,0.0000,[DJ CT C8 C7 SA HK H9 DA DT D9],,-,-,-,-,-,-,-
[CJ C9 SQ S9 HA HT HK HQ H8 D7],C,2,1,1,1,0,5,1,0,[DJ ST],12,0.0000,[CJ C9 SQ S9 HA HT HK HQ H8 D7],,-,-,-,-,-,-,-
[DJ C8 SA ST SQ S7 HK H7 DK DQ],D,2,1,1,1,0,4,0,0,[HA DT],21,0.0000,[DJ C8 SA ST SQ S7 HK H7 DK DQ],,-,-,-,-,-,-,-
[CT CK S9 HT HK H9 DT DK D9 D7],-,2,0,2,0,0,4,2,0,[SA S8],11,0.0000,[CT CK S9 HT HK H9 DT DK D9 D7],,-,-,-,-,-,-,-
[HJ CA CT CK C8 SK S7 HK HQ DT],H,5,0,1,0,1,4,0,0,[C9 H9],0,0.0000,[HJ CA CT CK C8 SK S7 HK HQ DT],,-,-,-,-,-,-,-
[HJ DJ CT C9 C7 S9 S7 H9 D9 D7],HD,5,0,0,0,0,3,0,0,[C8 DK],4,0.0000,[HJ DJ CT C9 C7 S9 S7 H9 D9 D7],,-,-,-,-,-,-,-
[SJ SA ST SK SQ S9 H9 DT D9 D7],S,1,1,2,1,0,5,1,0,[CK H7],4,0.0000,[SJ SA ST SK SQ S9 H9 DT D9 D7],,-,-,-,-,-,-,-
[CJ CT CK C7 SA SQ HK DQ D9 D8],C,4,1,0,0,0,3,0,0,[HQ DA],14,0.0000,[CJ CT CK C7 SA SQ HK DQ D9 D8],,-,-,-,-,-,-,-
[SJ C9 C8 ST SQ S9 HA H8 H7 DK],S,3,1,1,0,0,3,0,0,[DA D9],11,0.0000,[SJ C9 C8 ST SQ S9 HA H8 H7 DK],,-,-,-,-,-,-,-
[C7 S8 S7 HT HQ H9 H8 DQ D9 D8],-,1,0,1,0,0,4,0,0,[SJ H7],2,0.0000,[C7 S8 S7 HT HQ H9 H8 DQ D9 D8],,-,-,-,-,-,-,-
[C9 C8 ST SQ HA HK H9 H8 DK D7],-,2,1,1,0,0,4,0,0,[CT S8],10,0.0000,[C9 C8 ST SQ HA HK H9 H8 DK D7],,-,-,-,-,-,-,-
[CJ HJ CT CK C7 ST SK HA HT DQ],CH,5,1,2,1,0,3,0,0,[C8 H8],0,0.1000,[CJ HJ CT CK C7 ST SK HA HT DQ],,-,-,-,-,-,-,-
[SJ DJ CQ C9 SA SQ HA HT DQ D9],SD,4,2,1,1,0,2,0,0,[CJ S9],2,0.0000,[SJ DJ CQ C9 SA SQ HA HT DQ D9],,-,-,-,-,-,-,-
[CJ SJ CT CK SA ST SQ HT H7 D9],CS,4,1,2,1,0,3,0,0,[HJ DK],6,0.0500,[CJ SJ CT CK SA ST SQ HT H7 D9],,-,-,-,-,-,-,-
[SJ CA C7 S9 S8 HQ H8 H7 DA DT],S,3,1,1,1,0,3,0,0,[SK DK],8,0.0000,[SJ CA C7 S9 S8 HQ H8 H7 DA DT],,-,-,-,-,-,-,-
[HJ CA SA SQ HA HK H9 DK D9 D8],H,2,2,0,0,0,3,0,0,[SK HT],14,0.0000,[HJ CA SA SQ HA HK H9 DK D9 D8],,-,-,-,-,-,-,-
[DJ CA CK C7 ST HK H9 DA DT D9],D,4,1,2,1,1,3,0,0,[SK HQ],7,0.0000,[DJ CA CK C7 ST HK H9 DA DT D9],,-,-,-,-,-,-,-
[DJ CA CK C8 C7 S7 HT DQ D8 D7],D,5,0,1,0,1,4,0,0,[ST S8],10,0.0000,[DJ CA CK C8 C7 S7 HT DQ D8 D7],,-,-,-,-,-,-,-
[CA CQ C9 ST SQ S7 HA DA D8 D7],-,3,2,1,0,0,3,0,0,[SJ SA],13,0.0000,[CA CQ C9 ST SQ S7 HA DA D8 D7],,-,-,-,-,-,-,-
[CJ HJ DJ C7 SQ S8 HA HT HQ D8],CHD,4,1,1,1,0,3,0,0,[SK DT],14,0.0500,[CJ HJ DJ C7 SQ S8 HA HT HQ D8],,-,-,-,-,-,-,-
[CJ CA CK CQ C9 SA ST DT D8 D7],C,5,1,2,1,0,4,0,0,[HT D9],10,0.3000,[CJ CA CK CQ C9 SA ST DT D8 D7],,-,-,-,-,-,-,-
[DJ CA CT C7 SA ST S8 HK DT DK],D,4,1,2,1,0,3,0,0,[CK S9],4,0.0000,[DJ CA CT C7 SA ST S8 HK DT DK],,-,-,-,-,-,-,-
[SJ CT SK HA HT HK H7 DQ D9 D7],S,2,1,1,1,0,4,1,0,[SA SQ],14,0.0000,[SJ CT SK HA HT HK H7 DQ D9 D7],,-,-,-,-,-,-,-
[SJ CA CK C8 C7 SA S8 S7 DT D9],S,5,1,1,0,0,4,0,0,[S9 DQ],3,0.0500,[SJ CA CK C8 C7 SA S8 S7 DT D9],,-,-,-,-,-,-,-
