Cards,JacksMask,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,WinProb
[CA CK S8 HA HQ H7 DT DK DQ D9],-,1,1,0,1,1,0.0000
[CJ SJ CT CK C9 S7 HT HK H7 DK],CS,0,2,0,2,0,0.0000
[CJ SJ DJ CT S8 HK H9 H8 DK D9],CSD,0,1,0,0,0,0.0000
[SJ HJ CT C8 C7 SA HA HK HQ H8],SH,2,1,0,0,0,0.2000
[CT C7 ST SK S8 HA HT H9 H8 DT],-,2,3,2,1,1,0.0000
[DJ SA SK SQ S7 HT HK H9 D9 D8],D,1,2,0,2,1,0.0000
[CJ HJ CT C9 ST SK SQ DT DQ D7],CH,0,3,0,1,0,0.0000
[HJ CQ C8 ST SK S9 HQ H7 DA D8],H,1,2,0,1,0,0.0000
[CJ HJ CA CK CQ C9 C7 ST SK HT],CH,2,1,1,0,1,0.7800
[CA CK C9 C7 S8 HQ H9 H8 D9 D7],-,0,0,0,0,1,0.0000
[CJ CK CQ C9 SQ S9 S7 HK H7 DQ],C,1,0,0,0,0,0.0000
[CT CK C9 S7 HQ H9 H7 D9 D8 D7],-,0,1,0,0,1,0.0000
[CT C9 C8 SK S8 S7 HT HK HQ DA],-,1,1,0,1,1,0.0000
[CJ SJ CT CQ C9 S9 S8 HQ DT DQ],CS,0,2,0,1,0,0.0000
[DJ CQ C8 SK S7 HK H7 DA DQ D7],D,1,0,0,0,0,0.0000
[SJ CQ C8 C7 SQ S8 HA H9 H8 D7],S,1,0,0,0,0,0.0000
[DJ CT CK C9 C7 SA ST H7 DA DQ],D,2,1,1,0,1,0.0000
[CA C8 SQ S7 HA HT HQ DK D9 D7],-,1,2,1,0,1,0.0000
[CJ SJ CT CQ SA HA H8 H7 DT D7],CS,3,2,2,0,1,0.7900
[SJ C9 C8 C7 S8 HA HK HQ H8 DQ],S,1,0,0,0,0,0.0000
[CJ HJ C8 C7 SK S9 S8 DT DK D8],CH,0,1,0,1,0,0.0000
[SJ CT CK CQ ST SQ HT H8 H7 DQ],S,1,2,1,0,1,0.0000
[SJ HJ DJ CT CK C8 HT HK DQ D7],SHD,1,3,1,1,0,0.4500
[CT CQ SQ HA HK H9 H8 H7 DQ D7],-,2,1,1,1,1,0.0000
[HJ DJ CT SK S9 HK H7 DK D8 D7],HD,0,1,0,0,0,0.0000
[CJ SJ HJ CA CQ C9 SK HT HQ D8],CSH,1,1,0,0,0,0.3300
[CJ CA CT ST S8 HQ DA DT DK D7],C,2,3,2,0,0,0.0100
[SJ CT C7 SK H8 DA DT DK D9 D8],S,1,2,1,1,1,0.0000
[CJ CK CQ C8 SA ST SK HQ DQ D8],C,2,2,1,1,0,0.0000
[HJ CT C7 ST SK HA HQ H7 DA DT],H,3,3,2,0,0,0.4600
[CA CQ C8 SQ HK HQ H9 DT DQ D9],-,1,1,0,0,1,0.0000
[SJ DJ C9 SA S9 S8 HA H9 DA D7],SD,3,0,0,0,0,0.3200
[CA C9 SK SQ S8 S7 H8 H7 DT DQ],-,1,1,0,0,0,0.0000
[HJ CT C8 SK HT HK H9 H7 D8 D7],H,0,2,0,1,1,0.0000
[CJ SJ HJ CA CT S8 HA HT H7 DT],CSH,2,3,2,0,0,1.0000
[CA CK ST SK HT HK H7 DA DK D7],-,3,2,1,1,0,0.0100
[SJ HJ CT C7 ST SQ S7 D9 D8 D7],SH,2,2,1,0,0,0.3400
[DJ CA CK C7 SA SQ HA HK H9 D7],D,3,1,1,0,0,0.0700
[CJ CA C9 C8 C7 SQ S7 DQ D9 D8],C,0,1,0,0,1,0.0000
[SJ HJ CA CT SA ST S7 H8 DA DQ],SH,3,2,2,0,0,1.0000
[CA C8 C7 ST SQ S9 S8 HA HK DK],-,1,2,1,0,1,0.0000
[DJ CT CK SK SQ HA H8 DT DK DQ],D,1,1,0,1,1,0.0000
[CJ CT CK CQ C7 S8 HA HT DK D8],C,2,2,1,0,0,0.0200
[CJ ST SK SQ HA HK H9 H7 DA DK],C,3,1,1,0,0,0.2400
[CJ SJ HJ CA CK C8 C7 DT DK DQ],CSH,1,1,0,1,0,0.9800
[HJ CA CQ C9 C8 S9 H9 H7 D9 D7],H,1,0,0,0,0,0.1200
[CA CT CQ SK SQ HA HQ H8 H7 D8],-,3,1,1,0,0,0.1600
[SJ DJ C8 ST SK S7 HA HT HQ D9],SD,1,2,1,1,0,0.0200
[CA CK C8 ST S9 HT DA DT DK DQ],-,1,3,1,0,1,0.0000
[SJ CQ SA SK S9 S7 HQ H9 H8 D9],S,1,0,0,0,0,0.0000
[SJ CA C9 SK SQ HQ H8 H7 DT D7],S,1,1,1,0,1,0.0000
[C8 SK SQ S8 S7 HT HQ H8 H7 DQ],-,0,2,0,1,0,0.0000
[DJ CK CQ C9 ST SK HA HT D9 D7],D,1,2,1,0,0,0.0000
[SJ DJ CA CQ SQ S9 S7 HT HQ D8],SD,1,1,0,0,0,0.0000
[CJ SJ CA ST SK SQ HT HQ H8 D9],CS,1,2,0,0,0,0.1100
[CA CT CQ C9 SK SQ S9 S8 HK DT],-,0,1,0,0,2,0.0000
[HJ DJ CK C9 C7 SQ S7 HA HK D7],HD,2,0,0,0,0,0.3600
[CJ CT CK C8 SA HA HK H7 D8 D7],C,2,1,1,1,1,0.0000
[CA CQ C9 C7 SK S9 H8 DT DQ D9],-,1,1,0,0,0,0.0000
[HJ CA CT C8 S9 S8 H8 DA DT D7],H,1,2,1,0,1,0.0000
[CJ HJ C7 S8 S7 DA DT DQ D8 D7],CH,1,1,1,0,1,1.0000
[CQ C9 C8 C7 SA SQ HA H9 H8 D7],-,2,0,0,0,0,0.0000
[CJ CA C9 C8 C7 ST SQ HT DA DK],C,3,2,1,0,0,0.3000
[SJ DJ CK S8 S7 HT HQ DA DT DK],SD,1,3,1,0,0,0.0000
[SJ CA SQ S9 S8 HA H9 DT DQ D8],S,1,2,0,0,1,0.0000
[SJ HJ CK SA S9 S7 HA H7 DT D8],SH,3,1,1,0,0,0.7400
[DJ CT CQ C7 SA SK SQ S8 HQ H8],D,1,0,0,0,1,0.0000
[HJ CT C9 C7 SA ST SK HA HK DQ],H,2,4,2,0,0,0.0100
[SJ HJ CT CK C9 ST SQ H9 H7 D9],SH,0,4,0,1,0,0.0000
[CT C8 C7 SA SK H9 H8 DA DT D9],-,3,1,1,0,1,0.0700
[C9 C8 ST SQ S7 H9 H7 DK DQ D7],-,0,2,0,1,0,0.0000
[DJ CQ C8 SQ S9 S7 HK HQ H8 D7],D,0,0,0,0,0,0.0000
[SJ CT C8 C7 SA ST HT HK DK D7],S,2,3,2,1,0,0.0000
[HJ ST SK SQ HK H9 DT DQ D8 D7],H,2,1,1,0,1,0.0000
[CA C8 C7 HT HQ H7 DA DQ D9 D7],-,1,1,0,1,1,0.0000
[SJ HJ CA CT CK CQ SK HA HK H8],SH,2,2,1,0,0,0.4500
[CJ SJ C7 S7 HQ H9 DT DK DQ D9],CS,0,2,0,2,0,0.0000
[SJ CK C9 SA SK SQ HA H7 DK D7],S,2,0,0,0,1,0.0000
[CJ SJ CA SQ S8 HA H8 DK DQ D8],CS,2,1,1,0,0,0.5600
[CJ SJ C7 ST SK S7 HQ DK DQ D7],CS,0,1,0,1,0,0.0000
[CJ CT SQ HA HT HK HQ H7 DA D9],C,2,2,1,1,0,0.7000
[SA ST SK S9 S8 S7 HA DT DQ D8],-,2,2,1,1,1,0.0000
[CJ SJ DJ CQ C9 C8 SQ HA H9 D7],CSD,1,0,0,0,0,0.0000
[SJ CT CQ C9 SA S7 HA HQ D9 D7],S,2,2,0,0,0,0.0000
[SJ CQ C8 C7 S7 HA H8 DT DQ D7],S,1,1,0,1,0,0.0000
[C8 SA ST S8 HQ H8 H7 DT D8 D7],-,1,3,1,0,0,0.0000
[SJ DJ CT C8 SQ S7 HQ H8 DQ D9],SD,0,2,0,0,0,0.0000
[SJ DJ C7 SA ST SK HT HK H7 D7],SD,1,2,1,1,0,0.0000
[C9 C8 C7 ST S8 HQ DA DT D9 D8],-,2,2,1,0,0,0.0000
[C8 ST SK SQ S8 HK H9 H7 DA DK],-,1,1,0,1,0,0.0000
[CJ CA CK SA SK S9 H9 DA DQ D7],C,3,0,0,0,0,0.0600
[SJ HJ ST SK S8 S7 HK HQ DQ D9],SH,0,1,0,1,0,0.0000
[C9 C7 ST S8 S7 HT HQ H9 H7 DA],-,1,2,0,1,0,0.0000
[CJ SJ C7 SA S8 H8 H7 DA DT DQ],CS,2,1,1,0,0,0.9900
[CJ HJ DJ CA C9 SA ST DA D9 D8],CHD,2,1,1,0,1,1.0000
[SJ DJ C8 SA HA HT H9 H7 DT D7],SD,2,2,1,0,0,0.4300
[DJ CK CQ C9 SQ S9 HA HQ DQ D9],D,1,0,0,0,1,0.0000
[CJ HJ CQ SK S9 S8 H9 DT DQ D7],CH,0,2,0,0,0,0.0000
[CJ DJ CA CT CQ C7 ST SK H8 DK],CD,2,2,2,0,0,1.0000
[CA CQ SK S7 HT HK H8 DA DK DQ],-,1,1,0,1,2,0.0000
[DJ CK CQ SK S9 S7 H9 DA DK DQ],D,1,1,0,1,0,0.0000
[DJ CT CK C9 SA SQ S9 HT DA D8],D,3,2,1,0,0,0.1500
[DJ CK CQ C7 ST S9 S7 HA HK H8],D,1,1,0,0,0,0.0000
[CQ C9 SA SQ S7 HA H9 H8 H7 DQ],-,2,0,0,0,0,0.0000
[SJ CK C8 C7 ST SQ HA DT DK D7],S,2,3,1,2,0,0.0000
[CJ DJ C8 HK H9 H8 DA DK DQ D8],CD,1,1,0,0,0,0.2500
[HJ C8 SK HT HQ H9 H7 DK D8 D7],H,0,1,0,0,0,0.0000
[CK CQ C8 C7 HT H9 H7 DT DQ D7],-,0,2,0,1,0,0.0000
[HJ CT CK SA SK HA HK H8 DQ D8],H,3,1,1,0,0,0.1100
[CT SA ST SK HT HK DA DT DK D8],-,2,3,2,1,1,0.0000
[SJ CA CK C8 C7 S9 HT HQ H7 D8],S,0,2,0,0,1,0.0000
[SJ C7 ST SK SQ S9 H8 H7 DT DQ],S,0,2,0,1,0,0.0000
[CA CK ST SQ S9 H8 H7 DT DQ D7],-,0,2,0,0,1,0.0000
[SJ C7 S9 S8 HA H9 DT DK D9 D7],S,2,1,0,1,0,0.0000
[SJ CA CT CQ C7 S7 HK H9 DQ D8],S,1,2,1,0,0,0.0200
[CT CK SQ S9 S7 HA HQ H8 DA DT],-,2,1,1,0,1,0.0000
[CQ C7 SA SQ S8 S7 HK HQ H9 DK],-,1,0,0,0,0,0.0000
[CJ CK CQ C9 SA SQ S9 H7 DK D7],C,2,0,0,0,0,0.0000
[HJ CT SK SQ S7 HT HQ H9 H7 D7],H,0,1,0,0,1,0.0000
[HJ CT CK C9 C7 S7 H8 DT DQ D7],H,0,2,0,1,0,0.1100
[HJ DJ CK ST SK S9 S8 S7 HQ DK],HD,1,1,0,1,0,0.0000
[SJ ST S7 HA HT H8 H7 DT DQ D9],S,1,3,1,0,1,0.0000
[CJ SJ CK C9 C7 SA ST S8 H9 D7],CS,2,1,1,0,0,0.9700
[SJ CA CK CQ SA SK DA DK D9 D7],S,3,0,0,0,0,0.2500
[HJ CT CK SK SQ S8 S7 HK H7 D8],H,0,1,0,1,1,0.0000
[DJ CQ S9 S8 S7 HK HQ DA D8 D7],D,1,0,0,0,0,0.0000
[HJ CK C7 SQ S9 HT H9 DA D8 D7],H,1,2,0,1,1,0.0000
[HJ CT C7 SK SQ HA HQ H8 DQ D8],H,1,1,0,0,1,0.0000
[CT CQ SQ S7 HA HQ DA DT DK D9],-,2,1,1,1,1,0.0000
[HJ CK CQ S9 HK H7 DT DK DQ D8],H,0,2,0,2,1,0.0000
[CA CQ C7 SQ HA HK HQ H9 DK D7],-,3,1,1,0,0,0.0100
[CT ST S9 S8 DA DT DK DQ D8 D7],-,1,2,1,1,1,0.0000
[HJ CT CK C9 C7 S7 HT HQ D9 D8],H,0,1,0,0,1,0.0000
[CJ SJ CK SK SQ S9 S8 HA HQ D9],CS,1,0,0,0,0,0.0000
[CT CK C7 ST SK H8 DA DT DK D7],-,1,3,1,1,2,0.0000
[CJ CA CQ SA SK HQ H7 DA DT D7],C,3,1,1,0,0,0.2900
[CT C8 C7 SA ST HT H9 DA DK D9],-,2,3,1,0,0,0.0000
[CA CT C9 HA H7 DA DQ D9 D8 D7],-,3,0,0,0,1,0.7100
[SJ CA CQ C8 SA SK HA HQ DT DK],S,3,2,1,1,0,0.3400
[HJ CT C8 SA ST HA HQ H9 DK DQ],H,3,2,2,0,0,0.2100
[DJ CT ST SK HT HK HQ H8 DT D7],D,0,4,0,1,0,0.0000
[SJ CA CT CQ C7 SA SK SQ HT HQ],S,1,2,0,1,1,0.0000
[SJ CK SA ST SQ HA HT H9 DQ D9],S,2,2,2,1,0,0.7100
[CT CK C9 SA ST SK HA HK H8 H7],-,3,1,1,0,1,0.0000
[HJ DJ C8 HQ H9 H8 DA DK DQ D8],HD,1,0,0,0,0,0.3200
[CJ CA SA SK S9 S8 H8 DK DQ D9],C,1,1,1,1,1,0.0000
[CA CT C7 S7 HA HK H7 DK D9 D7],-,3,1,1,0,0,0.1500
[SJ C9 C7 SQ S9 HA H8 DK DQ D8],S,1,1,1,0,0,0.0000
[HJ C9 ST S8 HA HT H8 DT DK DQ],H,1,3,1,0,0,0.0000
[CJ DJ ST SQ S8 S7 HT DK DQ D9],CD,0,2,0,0,0,0.0000
[CJ CA CT CK C9 SK SQ DA DK D9],C,2,1,1,1,0,0.0000
[CJ DJ CT CQ C7 SQ HA H8 H7 DA],CD,2,1,0,0,0,0.6400
[CJ CA SA SQ S8 HQ H9 DT DQ D9],C,3,1,1,0,0,1.0000
[CK C8 SA SQ HQ H9 H8 D9 D8 D7],-,1,1,0,0,0,0.0000
[CJ CT CK C7 SQ HA DA DK D8 D7],C,2,0,0,0,1,0.0000
[SJ C9 SA SK SQ HA H9 H8 DA DK],S,3,0,0,0,0,0.0500
[CJ SJ CA SA S8 HA H9 DA DK DQ],CS,3,0,0,0,1,0.9600
[CA CK SK HT HK H8 DA DT D9 D8],-,1,2,1,1,1,0.0000
[SJ DJ CT C7 ST S9 S8 S7 HA HK],SD,1,2,0,1,0,0.0000
[SJ CA C8 SK SQ S7 HK DA DK D7],S,3,1,0,0,0,0.0900
[CK C8 C7 SK SQ S9 S8 HT H9 H8],-,1,2,1,1,0,0.0000
[HJ CQ SA ST SK SQ S8 HT H8 D8],H,1,2,1,1,1,0.0000
[CJ HJ DJ C9 C7 ST S9 HA DA D7],CHD,2,1,0,0,0,0.4100
[SJ DJ CT CK ST SK H7 DA DT DQ],SD,1,3,1,1,1,0.0200
[DJ CA CT CQ C8 C7 S9 S7 H9 DQ],D,0,2,0,0,1,0.0000
[CA C9 ST S9 S7 HT H9 H7 DA DQ],-,3,2,1,0,0,0.0000
[CJ HJ DJ C8 SA ST S8 HA H8 DQ],CHD,2,2,2,0,0,1.0000
[CJ CT C7 ST S9 S7 HK H9 DA DQ],C,2,1,1,0,1,0.0000
[CA CT C9 C7 SQ S8 H8 DK DQ D7],-,1,0,0,0,2,0.0000
[CJ HJ CQ C8 C7 S9 S7 HT HQ D7],CH,0,1,0,0,0,0.0000
[CJ CQ C7 SK SQ S9 S7 H8 DK DQ],C,0,0,0,0,0,0.0000
[CJ CA CT C9 C8 S8 HT DQ D9 D8],C,1,2,1,0,0,0.0100
[CJ SJ C7 SA ST S9 HT HQ DK D7],CS,1,2,1,0,0,0.2300
[SJ HJ CQ C8 ST S8 HA DT D9 D8],SH,1,2,0,0,0,0.0000
[CJ SJ DJ C7 ST SK S9 S8 S7 D8],CSD,1,1,0,1,0,1.0000
[SJ CA CQ S7 HK H7 DA DT D8 D7],S,2,1,1,1,0,0.5200
[CJ SJ C9 SA SQ HK H8 DT DQ D7],CS,2,1,0,0,0,0.1800
[SJ CA ST SK S9 S7 HA HK D9 D8],S,2,1,0,1,0,0.3300
[SJ CA CT CQ SA S8 HA HK DT D9],S,3,2,1,0,0,0.2000
[CJ SJ SA SK SQ S7 HK DT DK D8],CS,1,1,0,1,0,0.1000
[HJ CQ SA ST HK HQ H8 DA DQ D7],H,2,1,1,0,1,0.0000
[HJ CT SA S9 HA HT HK HQ DA DT],H,3,3,2,0,0,0.1100
[CJ DJ CK SK SQ S8 HA HK HQ DK],CD,1,1,1,0,0,0.0000
[CK CQ C9 SQ S9 S7 H9 DA DT DQ],-,1,1,1,0,0,0.0000
[SJ CT CK C9 C8 SQ HT H9 H7 DA],S,1,1,0,0,1,0.0000
[CJ SJ CQ SA ST SK SQ H7 DT D9],CS,1,2,1,1,0,0.5200
[CJ DJ CQ C8 SK S7 HK H9 DK D7],CD,1,0,0,0,0,0.0000
[SJ SA SK SQ S8 HT HQ DT DK D7],S,1,2,0,1,1,0.0000
[CJ SJ CK C9 SA S9 HQ H7 DK D7],CS,1,0,0,0,0,0.0000
[SJ C9 C8 C7 S9 S8 S7 HA HT HK],S,1,2,1,1,0,0.0000
[CJ HJ CA CT C8 S9 S7 HA H7 DQ],CH,2,1,1,0,0,0.8300
[CQ C9 C7 SK SQ S9 HA HQ DK DQ],-,1,0,0,0,1,0.0000
[CJ SJ C7 S8 HA H8 H7 DQ D9 D8],CS,2,0,0,0,0,0.0000
[CK C9 C7 SA S7 HA HK H9 DK D8],-,2,0,0,0,0,0.0000
[SJ HJ CT CK CQ SA HT HK H8 DQ],SH,1,2,0,1,0,0.0000
[DJ CT C9 SA S8 S7 HA DQ D9 D8],D,3,1,1,0,0,0.0300
[HJ DJ CT ST SK HT H7 DA DT DK],HD,1,4,1,1,0,0.0000
[CA C8 ST SK S9 S8 S7 HQ H8 DK],-,0,1,0,1,1,0.0000
[CJ S9 S7 HK HQ H9 H7 DQ D9 D8],C,0,0,0,0,0,0.0000
[HJ SA ST SK SQ S8 HA H9 H7 D8],H,1,1,0,1,1,0.0000
[HJ CT CK C7 SA S7 HA DA DT DQ],H,3,2,1,0,0,0.0700
[DJ CT CK C8 C7 ST SK HT HK DA],D,1,2,0,1,1,0.0000
[SJ CA CT CQ S7 H7 DQ D9 D8 D7],S,0,1,0,0,1,0.0000
[CT CK C9 C7 SA SK SQ S7 H7 D8],-,1,0,0,0,1,0.0000
[DJ CT CK C9 C7 ST HT H9 DK D8],D,1,3,1,1,0,0.0000
[CA CQ C7 S9 HK H8 DA DQ D8 D7],-,1,0,0,0,1,0.0000
[CJ SJ HJ CT CQ SA H7 DK DQ D7],CSH,1,2,1,0,0,0.3500
[CJ SJ DJ CA C9 C8 S9 HA HQ H7],CSD,2,1,1,0,0,0.9800
[CT CQ SA HA HK H7 DA DT DK D8],-,3,2,2,2,1,0.0000
[CJ CA CQ C7 SQ S9 H9 DT DQ D7],C,1,1,0,0,1,0.0000
[CJ CK CQ C9 C7 S9 S8 HA HQ D9],C,1,0,0,0,1,0.0000
[CJ CT CQ C9 HA HK HQ H9 H8 D7],C,1,0,0,0,1,0.0000
[C9 C7 SA ST S9 HA HK DA D9 D7],-,3,1,1,0,0,0.0000
[CJ SJ HJ C8 SK S7 H9 H8 DK DQ],CSH,0,0,0,0,0,0.0000
[CJ HJ CK C8 SK S7 H9 H8 DQ D8],CH,0,0,0,0,0,0.0000
[CJ SA ST SK SQ S8 HQ H7 DQ D7],C,1,1,1,1,1,0.0000
[HJ CK C9 S7 HA HT HK H9 H7 D8],H,1,2,1,1,0,0.0000
[CA CK CQ SK HK HQ DA DK DQ D7],-,1,0,0,0,1,0.0000
[CT CQ C8 SA S9 S8 HA H8 H7 D7],-,3,1,1,0,0,0.0100
[CA C8 C7 SA ST S9 HA H8 H7 DA],-,4,1,1,0,0,0.1300
[DJ CT CQ C9 SA ST HT H8 DK D7],D,1,2,1,0,1,0.0000
[DJ CT C7 SA ST SK HK H7 DA D7],D,3,2,2,0,0,0.2900
[CJ SJ CT CK SA H9 H8 DA DK D7],CS,2,1,0,1,0,0.2200
[CJ HJ C8 ST S7 HA HK HQ DQ D9],CH,2,1,0,0,0,0.2100
[C9 C8 C7 HA HT HK DA DT D8 D7],-,3,2,2,1,0,0.0000
[SJ C7 SQ S9 HK HQ H9 H8 D8 D7],S,0,0,0,0,0,0.0000
[HJ CQ SA ST SK HT HQ H8 D8 D7],H,1,3,1,0,0,0.0000
[CJ SJ C7 S8 S7 HA H8 H7 DK D7],CS,1,0,0,0,0,0.0000
[CA SK SQ HA HT HK H8 H7 DA DT],-,3,2,2,1,0,0.0000
[SJ CK CQ C8 C7 SK S9 HA DK D8],S,1,0,0,0,1,0.0000
[HJ C9 S9 S8 S7 HA HQ DT DK D8],H,1,1,0,1,0,0.0000
[C9 ST SQ S8 HT HK HQ H8 DK D9],-,0,2,0,1,1,0.0000
[HJ CK CQ ST SQ S8 S7 H9 DA D7],H,1,1,0,1,0,0.3700
[SJ CQ C8 ST SQ S8 HT HQ H9 D9],S,1,2,1,0,1,0.0000
[CJ CT SA SK HK HQ DA DT DK D7],C,2,2,1,1,1,0.7300
[DJ CQ C8 SA SQ HQ H9 DA D8 D7],D,2,0,0,0,0,0.0000
[C8 C7 ST SK SQ HA HQ H8 DA D8],-,2,1,0,1,0,0.0000
[CQ C9 C7 ST S7 HT HQ D9 D8 D7],-,0,2,0,0,0,0.0000
[SJ DJ CQ C7 HA HT H9 H8 DQ D8],SD,1,1,1,0,0,0.0000
[DJ C9 S9 HT HK HQ H7 D9 D8 D7],D,1,1,1,1,0,0.0000
[CT CQ C9 C8 SQ S7 HA H8 H7 DT],-,1,1,0,0,1,0.0000
[SJ DJ C9 C8 ST S9 S8 HQ H9 DQ],SD,1,1,1,1,0,0.1000
[DJ CA C8 SA HQ H9 H7 DK DQ D7],D,1,0,0,0,1,0.0000
[CK CQ C9 C8 C7 H9 H8 DQ D9 D7],-,0,0,0,0,1,0.0000
[SJ CK CQ SQ S8 S7 HK H9 H8 DT],S,0,1,0,0,0,0.0000
[CJ CK C7 SA SK S7 HK DA DQ D7],C,3,0,0,0,0,0.5800
[CJ DJ CA CK SA ST SK SQ HK H7],CD,3,1,1,0,0,1.0000
[C9 ST SK S8 H9 H7 DK DQ D8 D7],-,1,0,0,0,1,0.0000
[CQ C9 SA ST HA HT HK H7 DK D9],-,2,2,2,1,0,0.0000
[SJ DJ CK CQ S9 HQ H8 DA D9 D8],SD,2,0,0,0,0,0.0000
[CJ CT C9 C8 ST S9 HA HQ H8 D8],C,1,2,0,0,1,0.0000
[HJ CK C9 C8 SA SK SQ H8 D9 D7],H,1,0,0,0,0,0.0000
[CJ CT CK SQ S9 HA HT HQ H9 D8],C,1,1,1,1,1,0.0000
[DJ CA CQ C8 SK HT HK HQ DA D7],D,3,1,1,0,0,0.0000
[HJ DJ C8 SA SK SQ S9 HK HQ D7],HD,1,0,0,0,0,0.0000
[HJ CA C7 ST SK HT HK H7 D8 D7],H,0,4,0,1,1,0.0000
[CJ DJ CA C7 SA ST HA HQ H8 D8],CD,2,2,2,0,1,1.0000
[CJ CA C8 ST HT HK H7 DA DQ D8],C,2,2,0,1,0,0.0100
[CJ DJ CA CK C7 SK HT HK H9 D9],CD,2,1,1,1,0,0.6300
[CT CK CQ C7 SK SQ S7 HA DK D7],-,1,0,0,0,2,0.0000
[CJ SJ C9 S8 S7 HA HK H8 DQ D7],CS,1,1,0,0,0,0.0000
[CJ DJ C8 SK S9 H9 DA DK D9 D7],CD,2,0,0,0,0,0.1700
[CQ C8 ST SK HT HQ H8 H7 DA D9],-,1,2,0,0,0,0.0000
[SJ HJ CA CK C9 SA ST HQ DK D8],SH,4,1,1,0,0,1.0000
[CJ CK C8 ST S8 HT H9 H8 DA D8],C,1,2,0,2,0,0.0000
[CA CT SA ST SK HA HQ H8 H7 DK],-,3,2,2,0,0,0.1200
[DJ CT C7 S8 S7 HA HT HQ DA D7],D,2,1,1,0,1,0.0000
[CJ DJ CT CQ C8 C7 ST S9 HK DQ],CD,1,3,1,0,0,0.1300
[CJ DJ CK CQ C7 SK HA HQ H9 H7],CD,1,1,0,0,0,0.2600
[HJ CA CT C9 SA S8 S7 HK DK D9],H,1,1,0,0,1,0.0000
[CJ HJ CT CK CQ C7 SA ST HT HK],CH,2,2,2,0,1,0.9600
[SJ CT C7 HT HK H9 DK DQ D9 D8],S,1,2,0,1,1,0.0000
[CJ CA CT CQ ST SQ S9 HA D9 D7],C,2,2,1,0,0,0.4400
[SJ CA CT C8 SA S7 H8 DT DK D9],S,1,2,0,1,1,0.0000
[SJ C7 SA SQ S7 HA HQ DK DQ D7],S,2,1,1,0,0,0.0100
[HJ DJ CA CK SQ S9 S8 H9 DT D8],HD,2,1,1,0,0,0.0500
[CA C7 ST S9 S7 HA H9 H7 DQ D7],-,1,2,0,0,1,0.0000
[CJ DJ CK SK SQ S9 DT DK D9 D7],CD,1,1,0,1,0,0.5500
[HJ CA C8 SK HA H9 DA DK DQ D7],H,3,0,0,0,0,0.0100
[CJ CT CK CQ C9 S9 S8 S7 DQ D7],C,0,0,0,0,1,0.0000
[CA CT C8 S9 H8 H7 DT D9 D8 D7],-,0,1,0,0,2,0.0000
[CA CT C9 C8 HT HQ H9 H7 DT D8],-,0,2,0,0,2,0.0000
[SJ CA C9 ST SK S9 S7 HQ H9 DT],S,1,2,1,1,1,0.0000
