Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,BlankTens,MaxSuitLen,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb,PlayedCards,DiscardedCards,PostJacksMask,PostTrumpCount,PostAces,PostTens,PostAttachedTens,PostTenKingSmall,PostSkatFulls
[CT CQ SQ S9 S7 HT HK HQ H7 D9],-,2,0,1,0,0,4,1,0,[H8 DT],10,0.0000,[CT CQ SQ S9 S7 HT HK HQ H7 D9],,-,-,-,-,-,-,-
[CT C9 C7 SK SQ S9 S8 H9 H7 DT],-,3,0,1,0,1,4,0,0,[HQ H8],3,0.0000,[CT C9 C7 SK SQ S9 S8 H9 H7 DT],,-,-,-,-,-,-,-
[HJ C7 SA ST SQ S8 HQ H9 H8 D7],H,2,1,1,1,0,4,0,0,[CT DQ],13,0.0000,[HJ C7 SA ST SQ S8 HQ H9 H8 D7],,-,-,-,-,-,-,-
[HJ CT C9 C8 SA S7 H8 H7 DT DQ],H,4,1,1,0,0,3,0,0,[DJ HA],13,0.0000,[HJ CT C9 C8 SA S7 H8 H7 DT DQ],,-,-,-,-,-,-,-
[DJ CT CK SA S9 S7 HQ H9 DT D7],D,3,1,1,0,0,3,0,0,[HA DA],22,0.0000,[DJ CT CK SA S9 S7 HQ H9 DT D7],,-,-,-,-,-,-,-
[CJ CA C9 C7 HK HQ H9 H8 DA DK],C,4,1,0,0,0,4,0,0,[S9 D7],0,0.0000,[CJ CA C9 C7 HK HQ H9 H8 DA DK],,-,-,-,-,-,-,-
[DJ CT C8 C7 SQ S8 HK DT DK D7],D,4,0,1,0,0,3,1,0,[DA D8],11,0.0000,[DJ CT C8 C7 SQ S8 HK DT DK D7],,-,-,-,-,-,-,-
[CJ SJ CQ S7 H9 H7 DQ D9 D8 D7],CS,3,0,0,0,0,4,0,0,[HA DK],15,0.0000,[CJ SJ CQ S7 H9 H7 DQ D9 D8 D7],,-,-,-,-,-,-,-
[CA C7 SA SQ S7 HA H7 DA DQ D9],-,2,3,0,0,0,3,0,0,[CJ S8],2,0.0000,[CA C7 SA SQ S7 HA H7 DA DQ D9],,-,-,-,-,-,-,-
[CJ SJ S8 HA HT HQ H9 DA D8 D7],CS,2,2,1,1,0,4,0,0,[S9 H8],0,0.0000,[CJ SJ S8 HA HT HQ H9 DA D8 D7],,-,-,-,-,-,-,-
[SJ CQ C8 ST SK SQ HK H9 DA D8],S,3,1,1,0,0,3,0,0,[HJ S7],2,0.0000,[SJ CQ C8 ST SK SQ HK H9 DA D8],,-,-,-,-,-,-,-
[CJ HJ CA CT CQ C8 C7 H7 DQ D7],CH,7,0,0,0,0,5,0,0,[CK H8],4,0.3700,[CJ HJ CA CT CQ C8 C7 H7 DQ D7],,-,-,-,-,-,-,-
[SJ CT CQ SA ST SQ S8 HK D9 D7],S,3,1,1,1,0,4,0,0,[HJ HA],13,0.0000,[SJ CT CQ SA ST SQ S8 HK D9 D7],,-,-,-,-,-,-,-
